time,theta_b,dtheta_b,dtheta_w
684.10,-7.48,0.86,-19.08,-1.00
689.17,-7.48,0.52,-10.98,-1.00
694.26,-7.48,0.54,-16.19,-1.00
699.34,-7.48,0.65,-28.06,-1.00
704.41,-7.47,0.85,-19.59,-1.00
709.49,-7.47,0.98,-25.51,-1.00
714.58,-7.46,1.71,-16.97,-1.00
719.65,-7.45,1.72,-11.20,-1.00
724.73,-7.44,1.59,-20.20,-1.00
729.80,-7.44,1.13,-16.74,-1.00
734.88,-7.43,0.51,-22.30,-1.00
739.96,-7.43,-0.07,-1.10,-1.00
745.03,-7.43,-0.02,-28.84,-1.00
750.11,-7.43,-0.14,-19.22,-1.00
755.19,-7.43,0.16,-32.46,-1.00
760.27,-7.43,0.75,-22.65,-1.00
765.34,-7.42,1.84,-10.68,-1.00
770.42,-7.41,2.23,-4.57,-1.00
775.49,-7.40,2.57,-21.55,-1.00
780.57,-7.38,2.96,-19.52,-1.00
785.64,-7.36,3.57,-19.32,-1.00
790.72,-7.34,5.24,-23.48,-1.00
795.79,-7.31,5.62,-21.32,-1.00
800.87,-7.28,5.81,-13.00,-1.00
805.94,-7.25,5.52,-30.20,-1.00
811.02,-7.22,6.09,-16.52,-1.00
816.09,-7.20,4.84,-13.00,-1.00
821.17,-7.18,4.24,-21.25,-1.00
826.25,-7.16,3.19,-16.13,-1.00
831.32,-7.15,2.24,-15.14,-1.00
836.40,-7.14,1.27,-24.25,-1.00
841.47,-7.14,0.64,-27.87,-1.00
846.53,-7.14,-0.04,-18.16,-1.00
851.56,-7.14,-0.05,-24.64,-1.00
856.64,-7.14,-0.03,-19.38,-1.00
861.72,-7.14,0.41,-7.49,-1.00
866.78,-7.13,0.99,-25.11,-1.00
871.84,-7.13,1.70,-8.70,-1.00
876.87,-7.11,2.47,-10.22,-1.00
881.90,-7.10,3.06,-13.87,-1.00
886.96,-7.08,3.76,-11.87,-1.00
892.03,-7.06,4.69,-17.26,-1.00
897.10,-7.04,4.07,-25.81,-1.00
902.18,-7.01,4.29,-15.62,-1.00
907.26,-7.00,3.62,-27.36,-1.00
912.33,-6.98,3.34,-24.74,-1.00
917.41,-6.97,2.87,-14.70,-1.00
922.48,-6.96,2.04,-23.86,-1.00
927.56,-6.95,1.48,-15.16,-1.00
932.63,-6.94,0.89,-10.13,-1.00
937.71,-6.94,0.22,-17.70,-1.00
942.78,-6.94,-0.17,-21.85,-1.00
947.88,-6.95,-0.72,-14.87,-1.00
952.95,-6.95,-1.05,-25.21,-1.00
958.03,-6.96,-1.62,-24.44,-1.00
963.10,-6.97,-1.53,-7.32,-1.00
968.18,-6.98,-1.67,-25.99,-1.00
973.26,-6.98,-1.67,-22.04,-1.00
978.33,-6.99,-1.54,18.74,-1.00
983.41,-7.00,-1.13,-19.55,-1.00
988.49,-7.00,-0.43,-17.13,-1.00
993.56,-7.01,-0.36,-17.11,-1.00
998.64,-7.01,-0.22,-23.97,-1.00
1003.71,-7.01,-0.12,-25.68,-1.00
1008.80,-7.01,-0.24,-13.23,-1.00
1013.88,-7.01,-0.23,-23.11,-1.00
