time,theta_b,dtheta_b,dtheta_w
165.45,0.55,-1.50,-170.62,0.00
166.59,0.54,-1.53,-170.62,0.00
167.73,0.54,-1.53,-166.87,0.00
168.86,0.54,-1.53,-166.87,0.00
170.00,0.54,-1.53,-166.87,0.00
171.14,0.53,-1.70,-166.87,0.00
172.28,0.53,-1.70,-168.75,0.00
173.42,0.53,-1.70,-168.75,0.00
174.55,0.53,-1.70,-168.75,0.00
175.69,0.53,-1.58,-166.87,0.00
176.83,0.53,-1.58,-166.87,0.00
177.97,0.53,-1.58,-166.87,0.00
179.11,0.52,-1.66,-166.87,0.00
180.24,0.52,-1.66,-170.62,0.00
181.38,0.52,-1.66,-170.62,0.00
182.52,0.52,-1.66,-170.62,0.00
183.66,0.51,-1.72,-168.75,0.00
184.80,0.51,-1.72,-168.75,0.00
185.93,0.51,-1.72,-168.75,0.00
187.07,0.51,-1.72,-168.75,0.00
188.21,0.51,-1.66,-168.75,0.00
189.35,0.51,-1.66,-168.75,0.00
190.49,0.51,-1.66,-168.75,0.00
191.62,0.51,-1.66,-170.62,0.00
192.76,0.50,-1.35,-170.62,0.00
193.90,0.50,-1.35,-170.62,0.00
195.04,0.50,-1.35,-170.62,0.00
196.18,0.49,-1.40,-166.87,0.00
197.46,0.49,-1.40,-166.87,0.00
198.60,0.49,-1.40,-166.87,0.00
199.73,0.49,-1.40,-172.50,0.00
200.94,0.49,-1.41,-172.50,0.00
202.07,0.49,-1.41,-172.50,0.00
203.22,0.49,-1.41,-170.62,0.00
204.36,0.49,-1.41,-170.62,0.00
205.52,0.48,-1.36,-170.62,0.00
206.66,0.48,-1.36,-170.62,0.00
207.89,0.48,-1.36,-168.75,0.00
209.02,0.48,-1.36,-168.75,0.00
210.15,0.48,-0.94,-168.75,0.00
211.30,0.48,-0.94,-168.75,0.00
212.43,0.48,-0.94,-168.75,0.00
213.56,0.48,-0.94,-168.75,0.00
214.69,0.48,-0.94,-168.75,0.00
215.82,0.47,-0.94,-168.75,0.00
216.96,0.47,-0.94,-168.75,0.00
218.10,0.47,-0.94,-168.75,0.00
219.24,0.47,-0.94,-168.75,0.00
220.37,0.47,-1.15,-170.62,0.00
221.51,0.47,-1.15,-170.62,0.00
222.65,0.47,-1.15,-170.62,0.00
223.77,0.47,-1.15,-168.75,0.00
224.90,0.46,-1.43,-168.75,0.00
226.04,0.46,-1.43,-168.75,0.00
227.16,0.46,-1.43,-168.75,0.00
228.30,0.46,-1.43,-166.87,0.00
229.44,0.46,-1.43,-166.87,0.00
230.57,0.46,-0.86,-166.87,0.00
231.70,0.46,-0.86,-166.87,0.00
232.83,0.46,-0.86,-170.62,0.00
233.98,0.46,-0.86,-170.62,0.00
235.12,0.46,-0.86,-170.62,0.00
236.25,0.45,-0.99,-168.75,0.00
237.39,0.45,-0.99,-168.75,0.00
238.62,0.45,-0.99,-168.75,0.00
239.75,0.45,-0.99,-168.75,0.00
240.90,0.44,-1.19,-170.62,0.00
242.05,0.44,-1.19,-170.62,0.00
243.19,0.44,-1.19,-170.62,0.00
244.33,0.44,-1.19,-170.62,0.00
245.46,0.44,-1.16,-170.62,0.00
246.59,0.44,-1.16,-170.62,0.00
247.93,0.44,-1.16,-170.62,0.00
249.06,0.44,-1.16,-168.75,0.00
250.34,0.43,-1.21,-168.75,0.00
251.48,0.43,-1.21,-168.75,0.00
252.61,0.43,-1.21,-170.62,0.00
253.74,0.43,-1.21,-170.62,0.00
254.87,0.43,-1.21,-170.62,0.00
256.00,0.43,-1.10,-170.62,0.00
257.14,0.43,-1.10,-170.62,0.00
258.27,0.43,-1.10,-170.62,0.00
259.41,0.43,-1.10,-170.62,0.00
260.55,0.42,-1.18,-170.62,0.00
261.68,0.42,-1.18,-168.75,0.00
262.83,0.42,-1.18,-168.75,0.00
263.97,0.42,-1.18,-168.75,0.00
265.10,0.42,-1.18,-168.75,0.00
266.23,0.42,-1.06,-168.75,0.00
267.36,0.42,-1.06,-168.75,0.00
268.49,0.42,-1.06,-168.75,0.00
269.64,0.42,-1.06,-168.75,0.00
270.73,0.41,-1.36,-168.75,0.00
271.86,0.41,-1.36,-168.75,0.00
272.99,0.41,-1.36,-168.75,0.00
274.12,0.41,-1.36,-166.87,0.00
275.27,0.40,-1.18,-166.87,0.00
276.41,0.40,-1.18,-166.87,0.00
277.54,0.40,-1.18,-170.62,0.00
278.67,0.40,-1.18,-170.62,0.00
279.80,0.40,-1.18,-170.62,0.00
280.93,0.40,-1.16,-170.62,0.00
282.07,0.40,-1.16,-168.75,0.00
283.21,0.40,-1.16,-168.75,0.00
284.38,0.40,-1.16,-168.75,0.00
285.54,0.39,-1.02,-166.87,0.00
286.68,0.39,-1.02,-166.87,0.00
287.82,0.39,-1.02,-166.87,0.00
288.95,0.39,-1.02,-166.87,0.00
290.10,0.39,-0.96,-168.75,0.00
291.23,0.39,-0.96,-168.75,0.00
292.38,0.39,-0.96,-168.75,0.00
293.51,0.39,-0.96,-172.50,0.00
294.66,0.39,-0.96,-172.50,0.00
295.82,0.38,-0.92,-172.50,0.00
296.95,0.38,-0.92,-172.50,0.00
298.09,0.38,-0.92,-168.75,0.00
299.23,0.38,-0.92,-168.75,0.00
300.36,0.38,-1.18,-168.75,0.00
301.49,0.38,-1.18,-168.75,0.00
302.65,0.38,-1.18,-166.87,0.00
303.79,0.38,-1.18,-166.87,0.00
304.93,0.38,-1.18,-166.87,0.00
306.08,0.37,-0.95,-170.62,0.00
