time,theta_b,dtheta_b,dtheta_w,action
5.09,0.00,0.00,13.76,0.00
10.15,0.03,6.65,43.67,0.00
15.23,-0.04,-14.69,101.48,0.00
20.26,-0.19,-16.32,132.82,-1.00
25.33,-0.27,-18.69,146.54,-1.00
30.41,-0.34,-18.86,142.33,-1.00
35.47,-0.42,-18.77,177.92,-1.00
40.55,-0.57,-18.59,197.48,-1.00
45.62,-0.64,-18.81,191.61,-1.00
50.69,-0.72,-18.70,184.87,-1.00
55.76,-0.79,-18.69,193.74,-1.00
60.83,-0.94,-18.18,195.14,-1.00
65.90,-1.02,-18.32,180.92,-1.00
70.97,-1.09,-18.36,203.24,-1.00
76.04,-1.16,-18.27,162.67,-1.00
81.11,-1.31,-17.91,148.61,-1.00
86.17,-1.38,-17.76,144.31,-1.00
91.25,-1.45,-17.88,142.43,-1.00
96.32,-1.52,-17.78,207.09,-1.00
101.39,-1.66,-17.24,208.69,-1.00
106.46,-1.73,-17.22,141.38,-1.00
111.53,-1.80,-17.52,141.58,-1.00
116.59,-1.94,-17.50,148.12,-1.00
121.66,-2.01,-17.52,136.16,-1.00
126.73,-2.08,-17.77,93.53,-1.00
131.80,-2.15,-17.39,100.50,-1.00
136.87,-2.29,-17.65,99.06,-1.00
141.94,-2.36,-17.70,105.29,-1.00
147.01,-2.43,-17.41,96.89,-1.00
152.08,-2.50,-17.30,110.77,-1.00
157.15,-2.64,-16.87,102.34,-1.00
162.22,-2.70,-16.93,91.74,-1.00
167.29,-2.77,-16.62,86.99,-1.00
172.34,-2.84,-16.63,97.09,-1.00
177.41,-2.97,-16.55,106.46,-1.00
182.43,-3.04,-16.31,86.95,-1.00
187.50,-3.10,-16.60,109.41,-1.00
192.54,-3.17,-14.29,83.64,-1.00
197.57,-3.23,-12.90,60.00,-1.00
202.63,-3.30,-14.37,55.18,-1.00
207.68,-3.36,-12.48,43.89,-1.00
212.75,-3.43,-12.78,45.64,-1.00
217.77,-3.50,-12.87,40.40,-1.00
222.84,-3.56,-12.64,33.42,-1.00
227.91,-3.62,-14.14,54.35,-1.00
232.98,-3.69,-12.53,47.50,-1.00
238.05,-3.75,-12.44,47.30,-1.00
243.12,-3.81,-12.35,64.46,-1.00
248.19,-3.88,-12.13,50.17,-1.00
253.26,-3.94,-11.90,45.78,-1.00
258.33,-4.00,-13.48,68.15,-1.00
263.40,-4.06,-12.08,42.01,-1.00
268.47,-4.12,-12.25,50.74,-1.00
273.54,-4.19,-12.09,61.37,-1.00
278.61,-4.25,-13.78,43.56,-1.00
283.68,-4.31,-12.16,43.57,-1.00
288.75,-4.37,-12.17,54.19,-1.00
293.82,-4.44,-12.46,44.01,-1.00
298.89,-4.50,-12.18,52.47,-1.00
303.96,-4.56,-13.75,55.59,-1.00
309.03,-4.63,-12.38,74.56,-1.00
314.10,-4.69,-12.30,59.68,-1.00
319.15,-4.75,-13.77,62.82,-1.00
324.22,-4.82,-12.17,54.42,-1.00
329.29,-4.88,-12.17,59.41,-1.00
334.35,-4.94,-12.32,72.56,-1.00
339.43,-5.06,-13.30,55.59,0.00
344.51,-5.13,-11.85,46.31,0.00
349.57,-5.19,-11.85,68.01,-1.00
354.61,-5.19,-11.85,53.85,-1.00
359.68,-5.31,-13.00,71.20,-1.00
364.72,-5.37,-11.54,50.62,-1.00
369.76,-5.42,-11.39,53.85,-1.00
374.82,-5.48,-11.29,49.75,-1.00
379.90,-5.54,-11.22,55.67,-1.00
384.98,-5.60,-12.65,58.81,-1.00
390.06,-5.65,-11.19,49.99,-1.00
395.14,-5.71,-11.01,54.85,-1.00
400.21,-5.77,-11.09,54.08,-1.00
405.25,-5.83,-12.71,36.40,-1.00
410.33,-5.88,-11.43,44.82,-1.00
415.40,-5.94,-11.35,64.79,-1.00
420.48,-6.00,-11.52,45.00,-1.00
425.51,-6.06,-11.30,56.56,-1.00
430.56,-6.12,-11.53,67.08,-1.00
435.64,-6.18,-12.83,51.01,-1.00
440.72,-6.23,-11.46,54.71,-1.00
445.79,-6.29,-11.58,64.11,-1.00
450.88,-6.35,-11.15,46.29,-1.00
455.96,-6.41,-10.99,60.95,-1.00
461.03,-6.46,-12.10,59.08,-1.00
466.11,-6.52,-10.97,62.28,-1.00
471.19,-6.57,-10.63,65.94,-1.00
476.27,-6.63,-10.53,53.34,-1.00
481.34,-6.68,-10.42,51.21,-1.00
486.42,-6.73,-11.60,51.65,-1.00
491.50,-6.78,-10.32,60.26,-1.00
496.57,-6.84,-10.26,49.81,-1.00
501.65,-6.89,-10.24,68.41,-1.00
506.73,-6.94,-10.08,77.92,-1.00
511.80,-6.99,-11.52,67.87,-1.00
516.88,-7.05,-10.38,74.45,-1.00
521.96,-7.10,-10.40,69.56,-1.00
527.03,-7.15,-10.48,52.96,-1.00
532.11,-7.21,-10.52,60.72,-1.00
537.19,-7.26,-11.89,70.63,-1.00
542.26,-7.32,-10.70,53.12,-1.00
547.34,-7.37,-10.41,59.35,-1.00
552.41,-7.42,-10.62,65.79,-1.00
557.49,-7.48,-10.48,61.02,-1.00
562.57,-7.53,-10.53,70.18,-1.00
567.65,-7.58,-11.61,62.67,-1.00
572.72,-7.64,-10.10,45.23,-1.00
577.80,-7.69,-10.19,60.37,-1.00
582.87,-7.74,-9.99,56.21,-1.00
587.95,-7.79,-10.08,50.49,-1.00
593.03,-7.84,-10.83,55.33,-1.00
598.10,-7.89,-9.76,53.53,-1.00
603.18,-7.94,-9.81,46.64,-1.00
608.26,-7.99,-9.84,50.96,-1.00
613.33,-8.04,-10.79,43.95,-1.00
618.41,-8.09,-9.76,45.87,-1.00
623.48,-8.14,-9.44,52.44,-1.00
628.56,-8.19,-9.95,43.77,-1.00
633.64,-8.24,-10.92,49.75,-1.00
638.71,-8.29,-9.85,49.81,-1.00
643.79,-8.34,-10.08,42.19,-1.00
648.86,-8.39,-9.97,45.79,-1.00
653.94,-8.44,-10.00,57.92,-1.00
659.02,-8.50,-10.02,48.83,-1.00
664.05,-8.55,-11.29,58.98,-1.00
669.12,-8.60,-9.88,66.52,-1.00
674.20,-8.65,-9.64,46.71,-1.00
679.28,-8.70,-9.68,55.47,-1.00
684.36,-8.75,-10.97,43.04,-1.00
689.44,-8.80,-9.61,48.53,-1.00
694.51,-8.84,-9.54,58.66,-1.00
699.55,-8.89,-9.46,56.44,-1.00
704.60,-8.94,-9.10,48.62,-1.00
709.66,-8.99,-10.18,52.39,-1.00
714.73,-9.03,-9.22,60.19,-1.00
719.81,-9.08,-8.96,51.88,-1.00
724.89,-9.17,-10.18,52.20,-1.00
729.97,-9.22,-9.05,51.72,-1.00
735.04,-9.27,-8.95,69.35,-1.00
740.09,-9.27,-8.95,46.75,-1.00
745.17,-9.31,-9.01,50.42,-1.00
750.21,-9.40,-9.94,57.39,-1.00
755.27,-9.45,-9.05,59.55,-1.00
760.34,-9.50,-9.35,50.52,-1.00
765.42,-9.55,-9.39,52.47,-1.00
770.49,-9.60,-10.65,51.58,-1.00
775.57,-9.64,-9.17,22.75,-1.00
780.65,-9.69,-9.04,19.54,-1.00
785.72,-9.74,-9.21,8.09,-1.00
790.80,-9.78,-8.93,0.05,-1.00
795.88,-9.83,-9.86,18.43,-1.00
800.95,-9.87,-8.90,3.03,-1.00
806.03,-9.92,-8.69,14.93,-1.00
811.11,-9.96,-8.66,13.79,-1.00
816.18,-10.01,-9.63,-0.57,-1.00
821.26,-10.05,-7.69,25.99,-1.00
826.34,-10.09,-9.48,4.92,-1.00
831.41,-10.14,-8.54,-1.26,-1.00
836.49,-10.18,-8.36,15.22,-1.00
841.57,-10.22,-8.54,-2.21,-1.00
846.65,-10.27,-9.49,7.51,-1.00
851.72,-10.31,-8.60,6.22,-1.00
856.80,-10.35,-8.50,5.17,-1.00
861.84,-10.40,-8.52,-0.48,-1.00
866.91,-10.44,-9.76,19.62,-1.00
871.99,-10.49,-8.69,4.56,-1.00
877.04,-10.53,-8.63,20.62,-1.00
882.12,-10.58,-8.58,17.67,-1.00
887.17,-10.62,-8.72,1.26,-1.00
892.20,-10.66,-9.43,15.77,-1.00
897.27,-10.71,-8.66,-2.01,-1.00
902.30,-10.75,-8.49,16.13,-1.00
907.38,-10.79,-8.46,9.48,-1.00
912.45,-10.84,-9.15,5.43,-1.00
917.53,-10.88,-8.04,24.76,-1.00
922.61,-10.92,-8.05,6.76,-1.00
927.69,-10.96,-7.92,2.07,-1.00
932.77,-11.00,-8.75,24.02,-1.00
937.80,-11.04,-7.86,7.69,-1.00
942.85,-11.08,-7.92,6.94,-1.00
947.92,-11.12,-7.62,33.04,-1.00
953.00,-11.16,-7.50,3.83,-1.00
958.08,-11.20,-7.58,15.91,-1.00
963.15,-11.23,-8.32,16.20,-1.00
968.23,-11.27,-7.64,12.99,-1.00
973.31,-11.31,-7.46,17.78,-1.00
978.38,-11.35,-7.72,15.87,-1.00
983.46,-11.39,-8.69,7.79,-1.00
988.53,-11.43,-7.83,16.27,-1.00
993.61,-11.47,-7.88,19.84,-1.00
998.69,-11.51,-8.07,100.17,-1.00
1003.77,-11.55,-7.97,132.61,-1.00
1008.84,-11.59,-7.77,23.19,-1.00
1013.92,-11.63,-8.86,20.09,-1.00
1018.99,-11.67,-7.92,16.84,-1.00
1024.07,-11.71,-7.84,14.58,-1.00
1029.15,-11.75,-7.84,9.64,-1.00
1034.23,-11.79,-7.72,25.53,-1.00
1039.30,-11.83,-8.62,12.28,-1.00
1044.38,-11.87,-7.44,12.95,-1.00
1049.46,-11.91,-7.44,33.72,-1.00
1054.53,-11.95,-7.46,15.28,-1.00
1059.61,-11.98,-7.29,21.80,-1.00
1064.68,-12.02,-8.01,12.85,-1.00
1069.76,-12.06,-7.26,7.51,-1.00
1074.84,-12.09,-6.98,18.72,-1.00
1079.91,-12.13,-7.31,20.15,-1.00
1084.99,-12.17,-7.35,12.70,-1.00
1090.04,-12.21,-7.28,23.87,-1.00
1095.08,-12.24,-8.05,21.98,-1.00
1100.16,-12.28,-7.52,2.25,-1.00
1105.24,-12.32,-7.41,45.85,-1.00
1110.32,-12.39,-8.18,81.99,-1.00
1115.39,-12.39,-8.18,75.84,-1.00
1120.46,-12.43,-7.47,70.75,-1.00
1125.52,-12.47,-7.27,5.84,-1.00
1130.57,-12.51,-7.16,12.53,-1.00
1135.65,-12.58,-8.12,35.61,-1.00
1140.73,-12.62,-7.21,12.05,-1.00
1145.78,-12.65,-7.24,7.58,-1.00
1150.85,-12.69,-7.53,17.67,-1.00
1155.89,-12.73,-7.11,6.61,-1.00
1160.94,-12.77,-7.27,15.46,-1.00
1166.02,-12.80,-8.10,7.70,-1.00
1171.11,-12.84,-7.23,37.39,-1.00
1176.18,-12.88,-7.12,32.68,-1.00
1181.26,-12.91,-7.06,13.64,-1.00
1186.34,-12.95,-7.14,5.83,-1.00
1191.41,-12.99,-7.80,29.46,-1.00
1196.49,-13.02,-6.73,29.16,-1.00
1201.57,-13.05,-6.91,43.18,-1.00
1206.65,-13.09,-6.93,27.15,-1.00
1211.72,-13.13,-6.81,22.94,-1.00
1216.80,-13.16,-7.79,20.52,-1.00
1221.88,-13.20,-6.90,24.99,-1.00
1226.95,-13.23,-6.76,9.71,-1.00
1232.03,-13.27,-6.85,14.96,-1.00
1237.11,-13.30,-6.84,17.52,-1.00
1242.18,-13.34,-7.86,3.82,-1.00
1247.26,-13.37,-6.92,2.61,-1.00
1252.34,-13.41,-6.96,4.56,-1.00
1257.42,-13.44,-7.03,2.93,-1.00
1262.49,-13.48,-6.97,-0.06,-1.00
1267.56,-13.51,-7.02,9.66,-1.00
1272.64,-13.55,-7.75,4.31,-1.00
1277.72,-13.59,-6.97,15.57,-1.00
1282.80,-13.62,-6.85,19.87,-1.00
1287.88,-13.66,-6.67,16.27,-1.00
1292.96,-13.69,-6.59,15.19,-1.00
1298.03,-13.72,-7.34,16.71,-1.00
1303.11,-13.75,-6.34,17.57,-1.00
1308.19,-13.79,-6.19,21.50,-1.00
1313.26,-13.82,-6.37,6.67,-1.00
1318.34,-13.85,-7.10,4.84,-1.00
1323.41,-13.88,-6.26,19.34,-1.00
1328.49,-13.92,-6.36,0.13,-1.00
1333.57,-13.95,-6.21,-5.46,-1.00
1338.64,-13.98,-6.26,8.76,-1.00
1343.72,-14.01,-6.20,-2.77,-1.00
1348.79,-14.04,-7.19,1.95,-1.00
1353.87,-14.08,-6.35,32.30,-1.00
1358.95,-14.11,-6.49,5.45,-1.00
1364.02,-14.14,-6.50,4.46,-1.00
1369.10,-14.18,-6.54,5.45,-1.00
1374.17,-14.21,-7.25,7.26,-1.00
1379.25,-14.24,-6.30,2.54,-1.00
1384.29,-14.28,-6.48,3.05,-1.00
1389.32,-14.31,-6.36,-2.98,-1.00
1394.40,-14.34,-6.22,9.93,-1.00
1399.42,-14.37,-6.99,5.81,-1.00
1404.46,-14.40,-6.17,21.08,-1.00
