time,theta_b,dtheta_b,dtheta_w,action
1.24,0.00,0.00,0.00,0.00
2.39,0.00,0.00,0.00,0.00
3.53,0.00,0.00,0.00,0.00
4.68,2.42,552.49,-170.62,1.00
5.82,2.42,552.49,-170.62,1.00
6.96,2.42,552.49,-170.62,1.00
8.10,2.42,552.49,-170.62,1.00
9.24,2.53,26.25,-172.50,0.00
10.38,2.53,26.25,-172.50,0.00
11.53,2.53,26.25,-172.50,0.00
12.67,2.64,26.38,-170.62,0.00
13.81,2.64,26.38,-170.62,0.00
14.95,2.64,26.38,-170.62,0.00
16.09,2.64,26.38,-170.62,0.00
17.23,2.74,26.26,-172.50,0.00
18.37,2.74,26.26,-172.50,0.00
19.51,2.74,26.26,-172.50,0.00
20.65,2.74,26.26,-172.50,0.00
21.79,2.85,26.39,-172.50,0.00
22.93,2.85,26.39,-172.50,0.00
24.07,2.85,26.39,-172.50,0.00
25.21,2.96,26.29,-170.62,0.00
26.35,2.96,26.29,-170.62,0.00
27.49,2.96,26.29,-170.62,0.00
28.64,2.96,26.29,-170.62,0.00
29.78,3.07,25.95,-170.62,0.00
30.92,3.07,25.95,-170.62,0.00
32.07,3.07,25.95,-170.62,0.00
33.21,3.17,25.54,-172.50,0.00
34.35,3.17,25.54,-172.50,0.00
35.49,3.17,25.54,-172.50,0.00
36.63,3.17,25.54,-172.50,0.00
37.77,3.28,25.73,-172.50,0.00
38.91,3.28,25.73,-172.50,0.00
40.05,3.28,25.73,-172.50,0.00
41.19,3.28,25.73,-170.62,0.00
42.35,3.39,25.82,-170.62,0.00
43.49,3.39,25.82,-170.62,0.00
44.63,3.39,25.82,-172.50,0.00
45.77,3.49,25.01,-172.50,0.00
46.91,3.49,25.01,-172.50,0.00
48.05,3.49,25.01,-172.50,0.00
49.19,3.49,25.01,-174.37,0.00
50.33,3.60,25.35,-174.37,0.00
51.47,3.60,25.35,-174.37,0.00
52.62,3.60,25.35,-174.37,0.00
53.76,3.60,25.35,-174.37,0.00
54.90,3.70,25.85,-174.37,0.00
56.04,3.70,25.85,-174.37,0.00
57.18,3.70,25.85,-174.37,0.00
58.32,3.81,25.47,-174.37,0.00
59.46,3.81,25.47,-174.37,0.00
60.60,3.81,25.47,-172.50,0.00
61.74,3.81,25.47,-172.50,0.00
62.88,3.91,25.45,-172.50,0.00
64.02,3.91,25.45,-172.50,0.00
65.17,3.91,25.45,-172.50,0.00
66.31,4.02,25.22,-172.50,0.00
67.46,4.02,25.22,-172.50,0.00
68.60,4.02,25.22,-172.50,0.00
69.74,4.02,25.22,-172.50,0.00
70.88,4.12,24.82,-172.50,0.00
72.02,4.12,24.82,-172.50,0.00
73.16,4.12,24.82,-170.62,0.00
74.30,4.12,24.82,-170.62,0.00
75.44,4.22,25.00,-170.62,0.00
76.58,4.22,25.00,-170.62,0.00
77.72,4.22,25.00,-170.62,0.00
78.86,4.33,24.77,-170.62,0.00
80.01,4.33,24.77,-170.62,0.00
81.15,4.33,24.77,-172.50,0.00
82.29,4.33,24.77,-172.50,0.00
83.43,4.43,24.80,-172.50,0.00
84.57,4.43,24.80,-170.62,0.00
85.73,4.43,24.80,-170.62,0.00
86.87,4.43,24.80,-170.62,0.00
88.01,4.53,24.68,-170.62,0.00
89.15,4.53,24.68,-174.37,0.00
90.29,4.53,24.68,-174.37,0.00
91.43,4.63,24.83,-174.37,0.00
92.57,4.63,24.83,-168.75,0.00
93.71,4.63,24.83,-168.75,0.00
94.85,4.63,24.83,-168.75,0.00
95.99,4.74,24.88,-168.75,0.00
97.13,4.74,24.88,-170.62,0.00
98.27,4.74,24.88,-170.62,0.00
99.41,4.84,24.63,-170.62,0.00
100.55,4.84,24.63,-172.50,0.00
101.69,4.84,24.63,-172.50,0.00
102.84,4.84,24.63,-172.50,0.00
103.98,4.94,23.67,-172.50,0.00
105.12,4.94,23.67,-172.50,0.00
106.26,4.94,23.67,-172.50,0.00
107.40,4.94,23.67,-172.50,0.00
108.54,5.04,24.21,-172.50,0.00
109.69,5.04,24.21,-172.50,0.00
110.83,5.04,24.21,-172.50,0.00
111.97,5.14,24.34,-172.50,1.00
113.11,5.14,24.34,-172.50,1.00
114.25,5.14,24.34,-172.50,1.00
115.39,5.14,24.34,-172.50,1.00
116.54,5.24,23.98,-172.50,1.00
117.68,5.24,23.98,-172.50,1.00
118.82,5.24,23.98,-172.50,1.00
119.96,5.24,23.98,-172.50,1.00
121.10,5.34,24.02,-172.50,1.00
122.24,5.34,24.02,-172.50,1.00
123.38,5.34,24.02,-172.50,1.00
124.52,5.43,23.95,-170.62,1.00
125.68,5.43,23.95,-170.62,1.00
126.82,5.43,23.95,-170.62,1.00
127.96,5.43,23.95,-170.62,1.00
129.10,5.53,23.84,-174.37,1.00
130.24,5.53,23.84,-174.37,1.00
131.38,5.53,23.84,-174.37,1.00
132.53,5.63,23.57,-170.62,1.00
133.67,5.63,23.57,-170.62,1.00
134.81,5.63,23.57,-170.62,1.00
135.95,5.63,23.57,-170.62,1.00
137.09,5.73,23.61,-170.62,1.00
138.24,5.73,23.61,-170.62,1.00
139.38,5.73,23.61,-170.62,1.00
