time,theta_b,dtheta_b,dtheta_w,action
5.07,0.00,0.00,20.27,0.00
10.15,0.86,167.57,40.07,0.00
15.21,0.86,-0.46,29.50,0.00
20.24,0.86,-0.37,21.91,0.00
25.29,0.86,-0.61,31.70,0.00
30.35,0.86,-0.35,27.39,0.00
35.42,0.85,-0.25,22.47,0.00
40.49,0.85,-0.51,36.50,0.00
45.56,0.85,-0.67,27.94,0.00
50.62,0.85,-0.27,41.19,0.00
55.69,0.85,-0.37,28.85,0.00
60.76,0.84,-0.28,35.66,0.00
65.83,0.84,-0.15,32.20,0.00
70.90,0.84,-0.48,28.22,0.00
75.97,0.84,-0.51,34.54,0.00
81.04,0.84,-0.38,26.54,0.00
86.11,0.83,-0.38,23.88,0.00
91.18,0.83,-0.44,18.64,0.00
96.25,0.83,-0.23,25.73,0.00
101.32,0.83,-0.16,36.74,0.00
106.39,0.83,-0.29,44.08,0.00
111.46,0.83,-0.30,20.64,0.00
116.52,0.82,-0.45,24.00,0.00
121.59,0.82,-0.45,33.10,0.00
126.66,0.82,-0.60,24.28,0.00
131.73,0.82,-0.64,30.53,0.00
136.80,0.81,-0.28,38.53,0.00
141.85,0.81,-0.78,23.28,0.00
146.88,0.81,-0.48,23.38,0.00
151.94,0.81,-0.56,26.75,0.00
156.97,0.80,-0.61,32.00,0.00
162.04,0.80,-0.53,39.61,0.00
167.09,0.80,-0.32,27.36,0.00
172.15,0.80,-0.06,42.49,0.00
177.22,0.80,-0.23,42.59,0.00
182.27,0.80,-0.03,31.75,0.00
187.34,0.79,-0.29,35.70,0.00
192.41,0.79,-0.17,30.12,0.00
197.48,0.79,-0.32,45.62,0.00
202.55,0.79,-0.37,29.34,0.00
207.62,0.79,-0.34,28.64,0.00
212.69,0.79,-0.48,36.52,0.00
217.76,0.78,-0.36,21.99,0.00
222.82,0.78,-0.31,29.59,0.00
227.89,0.78,-0.58,35.40,0.00
232.96,0.78,-0.40,20.39,0.00
238.03,0.78,-0.50,34.87,0.00
243.10,0.77,-0.28,19.85,0.00
248.17,0.77,-0.21,52.26,0.00
253.24,0.77,-0.49,32.28,0.00
258.31,0.77,-0.31,22.78,0.00
263.38,0.77,-0.30,33.33,0.00
268.45,0.77,-0.40,32.81,0.00
273.47,0.76,-0.41,29.44,0.00
278.54,0.76,-0.18,44.57,0.00
283.57,0.76,-0.19,22.98,0.00
288.60,0.76,-0.10,30.53,0.00
293.63,0.76,-0.28,25.81,0.00
298.70,0.76,-0.35,23.79,0.00
303.75,0.76,-0.12,30.81,0.00
308.82,0.76,-0.37,28.71,0.00
313.86,0.75,-0.25,36.08,0.00
318.92,0.75,-0.54,36.69,0.00
323.99,0.75,-0.25,37.82,0.00
329.06,0.75,-0.32,27.98,0.00
334.13,0.75,-0.24,28.04,0.00
339.20,0.75,-0.14,29.71,0.00
344.27,0.75,-0.16,41.63,0.00
349.34,0.74,-0.26,88.48,1.00
354.41,0.74,-0.09,117.41,1.00
359.48,0.74,-0.31,86.24,1.00
364.55,0.74,-0.57,18.55,0.00
369.62,0.74,-0.22,42.82,0.00
374.69,0.74,-0.32,29.09,0.00
379.76,0.73,-0.38,19.38,0.00
384.83,0.73,-0.12,25.90,0.00
389.91,0.73,-0.26,31.27,0.00
394.99,0.73,-0.29,27.98,0.00
400.06,0.73,-0.23,39.49,0.00
405.12,0.73,-0.13,23.73,0.00
410.19,0.73,-0.27,30.10,0.00
415.26,0.73,-0.12,38.64,0.00
420.33,0.73,-0.18,27.17,0.00
425.40,0.73,-0.26,40.31,0.00
430.47,0.72,-0.36,42.19,0.00
435.55,0.72,-0.39,27.22,0.00
440.61,0.72,-0.25,34.10,0.00
445.68,0.72,-0.33,46.63,0.00
450.75,0.72,-0.24,31.67,0.00
455.82,0.72,-0.25,33.79,0.00
460.89,0.71,-0.29,27.39,0.00
465.96,0.71,-0.26,25.72,0.00
471.03,0.71,-0.22,29.97,0.00
476.05,0.71,-0.35,34.25,0.00
481.13,0.71,-0.29,30.06,0.00
486.16,0.71,-0.30,29.26,0.00
491.20,0.71,-0.36,19.49,0.00
496.23,0.70,-0.37,44.98,0.00
501.30,0.70,-0.45,19.18,0.00
506.32,0.70,-0.61,27.03,0.00
511.39,0.70,-0.24,38.53,0.00
516.41,0.70,-0.28,26.65,0.00
521.49,0.69,-0.35,29.46,0.00
526.56,0.69,-0.13,44.69,0.00
531.59,0.69,-0.11,20.21,0.00
536.62,0.69,-0.14,33.52,0.00
541.69,0.69,-0.30,22.31,0.00
546.76,0.69,-0.09,26.24,0.00
551.83,0.69,-0.22,48.92,0.00
556.90,0.69,-0.14,23.21,0.00
561.97,0.69,-0.17,24.46,0.00
567.04,0.69,-0.31,32.10,0.00
572.11,0.68,-0.23,25.99,0.00
577.18,0.68,-0.25,43.04,0.00
582.25,0.68,-0.23,35.76,0.00
587.32,0.68,-0.37,37.70,0.00
592.39,0.68,-0.34,30.01,0.00
597.45,0.68,-0.41,16.62,0.00
602.52,0.67,-0.49,26.57,0.00
607.59,0.67,-0.24,29.55,0.00
612.66,0.67,-0.25,26.66,0.00
