time,theta_b,dtheta_b
10919.37,14.77,-94.05
10922.64,14.41,-107.64
10925.54,14.06,-121.23
10928.85,13.71,-106.02
10931.99,13.36,-111.93
10935.22,13.01,-108.91
10938.10,12.66,-122.20
10941.28,12.30,-110.38
10943.77,11.95,-141.42
10946.47,11.60,-129.97
10949.48,11.25,-116.88
10952.80,10.90,-106.05
10955.55,10.55,-127.84
10958.41,10.20,-122.84
10960.91,9.84,-140.46
10963.46,9.49,-138.14
10966.37,9.14,-120.85
10969.27,8.79,-120.89
10971.97,8.44,-130.35
10974.30,8.09,-150.69
10977.07,7.73,-127.24
10980.12,7.38,-115.27
10982.85,7.03,-128.59
10984.93,6.68,-169.43
10987.39,6.33,-142.62
10990.02,5.98,-133.83
10992.60,5.62,-136.37
10994.81,5.27,-159.08
10997.77,4.92,-118.53
11000.56,4.57,-125.92
11002.70,4.22,-164.51
11005.34,3.87,-133.17
11007.63,3.52,-153.52
11010.68,3.16,-115.15
11012.67,2.81,-177.11
11015.45,2.46,-126.28
11018.10,2.11,-132.87
11020.02,1.76,-183.20
11022.94,1.41,-120.15
11025.34,1.05,-146.73
11027.96,0.70,-134.29
11030.27,0.35,-152.06
11032.82,0.00,-137.98
11035.17,-0.35,-149.47
11037.33,-0.70,-162.53
11040.20,-1.05,-122.62
11042.62,-1.41,-144.97
11045.14,-1.76,-139.56
11047.72,-2.11,-136.64
11049.46,-2.46,-201.82
11052.62,-2.81,-111.29
11054.97,-3.16,-149.28
11057.01,-3.52,-172.76
11059.80,-3.87,-125.92
11062.33,-4.22,-138.96
11065.15,-4.57,-124.62
11067.22,-4.92,-170.25
11070.23,-5.27,-116.80
11072.49,-5.62,-155.15
11075.05,-5.98,-137.65
11077.51,-6.33,-142.62
11080.48,-6.68,-118.53
11082.94,-7.03,-142.85
11085.18,-7.38,-156.46
11088.24,-7.73,-115.00
11090.95,-8.09,-130.02
11093.28,-8.44,-150.63
11096.09,-8.79,-124.98
11098.68,-9.14,-135.84
11101.85,-9.49,-110.90
11104.21,-9.84,-149.22
11107.04,-10.20,-124.01
11109.82,-10.55,-126.55
11112.67,-10.90,-123.36
11115.33,-11.25,-132.17
11118.14,-11.60,-124.98
11120.91,-11.95,-126.92
11124.01,-12.30,-113.48
11127.04,-12.66,-116.22
11130.12,-13.01,-114.07
11133.26,-13.36,-111.93
11135.86,-13.71,-135.27
11139.32,-14.06,-101.58
11141.98,-14.41,-131.97
11145.56,-14.77,-98.28
11149.00,-15.12,-102.08
11152.02,-15.47,-116.68
11155.68,-15.82,-95.98
11159.00,-16.17,-106.02
11162.83,-16.52,-91.60
11166.24,-16.88,-103.31
11169.64,-17.23,-103.34
11172.69,-17.58,-115.08
11177.05,-17.93,-80.63
11180.87,-18.28,-92.10
11185.43,-18.63,-77.11
11189.71,-18.98,-82.24
11193.76,-19.34,-86.68
11197.73,-19.69,-88.58
11202.96,-20.04,-67.16
11208.61,-20.39,-62.23
11213.08,-20.74,-78.63
11218.67,-21.09,-62.97
11225.47,-21.45,-51.66
11231.36,-21.80,-59.70
11237.42,-22.15,-57.99
11247.20,-22.50,-35.98
11257.43,-22.85,-34.35
11276.07,-23.20,-18.86
11331.38,-22.85,6.36
11340.98,-22.50,36.64
11349.53,-22.15,41.11
11357.53,-21.80,43.92
11363.83,-21.45,55.79
11370.55,-21.09,52.33
11376.22,-20.74,62.00
11380.64,-20.39,79.63
11386.69,-20.04,58.06
11391.49,-19.69,73.27
11395.91,-19.34,79.54
11401.14,-18.98,67.18
11404.21,-18.63,114.55
11409.14,-18.28,71.33
11413.30,-17.93,84.55
11417.36,-17.58,86.66
11421.33,-17.23,88.58
11425.10,-16.88,93.10
11428.57,-16.52,101.46
11432.10,-16.17,99.56
11435.67,-15.82,98.31
11438.68,-15.47,116.72
11442.43,-15.12,93.78
11445.37,-14.77,119.62
11449.04,-14.41,95.92
11452.64,-14.06,97.52
11455.52,-13.71,122.11
11458.70,-13.36,110.52
11461.98,-13.01,107.35
11464.99,-12.66,116.84
11467.54,-12.30,137.76
11470.88,-11.95,105.38
11473.58,-11.60,129.97
11476.98,-11.25,103.34
11480.12,-10.90,111.96
11482.91,-10.55,125.92
11485.66,-10.20,127.93
11488.76,-9.84,113.52
11491.46,-9.49,129.97
11494.40,-9.14,119.74
11497.02,-8.79,134.34
11500.27,-8.44,107.94
11503.07,-8.09,125.92
11506.03,-7.73,118.53
11508.91,-7.38,122.07
11511.27,-7.03,149.28
11514.15,-6.68,122.11
11517.13,-6.33,117.97
11519.59,-5.98,142.74
11522.52,-5.62,119.91
11525.23,-5.27,129.97
11527.78,-4.92,137.81
11530.24,-4.57,142.80
11533.73,-4.22,100.71
11535.91,-3.87,161.34
11539.09,-3.52,110.35
11541.68,-3.16,135.79
11544.20,-2.81,139.79
11546.86,-2.46,132.12
11549.39,-2.11,138.96
11552.49,-1.76,113.59
11555.50,-1.41,116.76
11557.72,-1.05,158.01
11560.56,-0.70,124.01
11563.43,-0.35,122.11
11566.09,0.00,132.27
11568.88,0.35,125.92
11571.59,0.70,129.97
11574.51,1.05,120.23
11577.57,1.41,115.15
11580.13,1.76,137.38
11582.06,2.11,181.97
11585.59,2.46,99.42
11587.95,2.81,149.28
11591.09,3.16,111.93
11594.06,3.52,118.53
11596.50,3.87,143.91
11599.46,4.22,118.53
11602.34,4.57,122.11
11605.22,4.92,122.07
11608.36,5.27,111.96
11611.42,5.62,115.12
11614.38,5.98,118.53
11616.74,6.33,149.28
11620.58,6.68,91.58
11622.94,7.03,148.90
11626.34,7.38,103.49
11629.30,7.73,118.53
11632.51,8.09,109.62
11635.37,8.44,123.10
11638.82,8.79,101.67
11641.95,9.14,112.39
11645.18,9.49,108.88
11648.54,9.84,104.69
11651.90,10.20,104.66
11655.21,10.55,106.05
11658.26,10.90,115.15
11661.49,11.25,108.91
11665.68,11.60,83.95
11668.95,11.95,107.54
11672.66,12.30,94.76
11677.08,12.66,79.56
11681.06,13.01,88.22
11685.22,13.36,84.55
11689.10,13.71,90.56
11693.07,14.06,88.58
11697.43,14.41,80.60
11702.54,14.77,68.89
11706.97,15.12,79.40
11712.16,15.47,67.67
11717.15,15.82,70.45
11722.91,16.17,61.06
11729.06,16.52,57.16
11735.03,16.88,58.84
11741.75,17.23,52.34
11749.34,17.58,46.31
11757.98,17.93,40.70
11769.10,18.28,31.62
11781.01,18.63,29.52
11846.61,18.28,-5.36
11858.42,17.93,-29.78
11867.94,17.58,-36.91
11875.88,17.23,-44.29
11882.47,16.88,-53.36
11889.95,16.52,-46.99
11896.02,16.17,-57.92
11901.49,15.82,-64.31
11906.27,15.47,-73.46
11911.69,15.12,-64.85
11917.71,14.77,-58.40
11922.25,14.41,-77.50
11927.49,14.06,-67.16
11931.19,13.71,-94.89
11936.03,13.36,-72.58
11940.48,13.01,-79.04
11944.41,12.66,-89.52
11947.99,12.30,-98.28
11952.74,11.95,-73.95
11956.10,11.60,-104.66
11960.63,11.25,-77.50
11964.02,10.90,-103.98
11967.93,10.55,-89.73
11971.71,10.20,-92.98
11975.33,9.84,-97.20
11978.73,9.49,-103.34
11982.62,9.14,-90.49
11985.58,8.79,-118.61
11989.16,8.44,-98.23
11992.43,8.09,-107.54
11995.97,7.73,-99.42
11999.76,7.38,-92.66
12002.68,7.03,-120.32
12006.07,6.68,-103.83
12009.59,6.33,-99.96
12012.34,5.98,-127.70
12015.33,5.62,-117.42
12018.91,5.27,-98.28
12022.11,4.92,-109.90
12025.37,4.57,-107.94
12028.51,4.22,-111.93
12031.08,3.87,-136.79
12034.76,3.52,-95.48
12037.66,3.16,-121.02
12041.24,2.81,-98.23
12043.34,2.46,-167.89
12047.35,2.11,-87.61
12049.75,1.76,-146.48
12053.11,1.41,-104.69
12056.25,1.05,-111.93
12058.87,0.70,-134.34
12061.89,0.35,-116.26
12065.63,0.00,-94.08
12068.03,-0.35,-146.55
12071.14,-0.70,-112.97
12073.96,-1.05,-124.67
12076.92,-1.41,-118.53
12080.12,-1.76,-109.90
12083.21,-2.11,-114.03
12086.12,-2.46,-120.44
12089.66,-2.81,-99.40
12092.38,-3.16,-129.44
12095.37,-3.52,-117.38
12098.71,-3.87,-105.51
12101.49,-4.22,-126.14
12104.67,-4.57,-110.76
12107.89,-4.92,-108.88
12111.33,-5.27,-102.29
12113.80,-5.62,-142.16
12117.49,-5.98,-95.38
12120.72,-6.33,-108.91
12124.17,-6.68,-101.99
12127.26,-7.03,-113.55
12130.18,-7.38,-120.40
12133.32,-7.73,-111.93
12137.21,-8.09,-90.49
12139.91,-8.44,-130.02
12143.72,-8.79,-92.27
12147.15,-9.14,-102.47
12150.56,-9.49,-103.31
12153.98,-9.84,-102.65
12157.45,-10.20,-101.40
12160.94,-10.55,-100.76
12165.13,-10.90,-83.93
12168.44,-11.25,-106.05
12173.15,-11.60,-74.63
12176.47,-11.95,-106.05
12179.87,-12.30,-103.34
12184.50,-12.66,-75.83
12188.51,-13.01,-87.87
12192.43,-13.36,-89.57
12196.40,-13.71,-88.64
12200.72,-14.06,-81.34
12206.26,-14.41,-63.44
12210.75,-14.77,-78.28
12215.59,-15.12,-72.62
12220.87,-15.47,-66.61
12226.02,-15.82,-68.29
12231.29,-16.17,-66.63
12237.23,-16.52,-59.25
12243.88,-16.88,-52.85
12250.75,-17.23,-51.17
12257.28,-17.58,-53.85
12264.84,-17.93,-46.50
12274.26,-18.28,-37.31
12284.73,-18.63,-33.58
12300.17,-18.98,-22.77
12358.28,-18.63,6.05
12373.02,-18.28,23.84
12381.92,-17.93,39.51
12391.34,-17.58,37.31
12399.95,-17.23,40.85
12406.69,-16.88,52.11
12413.50,-16.52,51.65
12419.78,-16.17,55.97
12424.43,-15.82,75.56
12431.04,-15.47,53.25
12436.97,-15.12,59.27
12442.29,-14.77,66.07
12447.26,-14.41,70.69
12451.93,-14.06,75.31
12456.86,-13.71,71.37
12461.66,-13.36,73.21
12465.06,-13.01,103.34
12469.86,-12.66,73.26
12474.66,-12.30,73.27
12479.11,-11.95,79.02
12483.18,-11.60,86.34
12486.43,-11.25,107.94
12491.17,-10.90,74.17
12494.90,-10.55,94.46
12498.62,-10.20,94.43
12502.97,-9.84,80.87
12505.87,-9.49,120.94
12510.38,-9.14,77.95
12514.00,-8.79,97.14
12516.79,-8.44,125.92
12521.24,-8.09,79.02
12524.56,-7.73,106.02
12527.87,-7.38,106.05
12531.49,-7.03,97.17
12534.89,-6.68,103.34
12539.08,-6.33,83.91
12541.83,-5.98,127.89
12545.72,-5.62,90.52
12548.64,-5.27,120.36
12552.65,-4.92,87.61
12556.40,-4.57,93.70
12559.02,-4.22,134.39
12563.08,-3.87,86.66
12566.26,-3.52,110.42
12569.95,-3.16,95.17
12573.10,-2.81,111.89
12576.47,-2.46,104.29
12579.78,-2.11,105.99
12582.88,-1.76,113.55
12586.89,-1.41,87.63
12589.80,-1.05,120.89
12593.45,-0.70,96.34
12597.05,-0.35,97.49
12600.55,0.00,100.71
12603.60,0.35,115.19
12607.47,0.70,90.89
12610.71,1.05,108.41
12614.07,1.41,104.69
12617.69,1.76,97.12
12621.13,2.11,102.02
12624.80,2.46,95.95
12627.85,2.81,115.15
12631.14,3.16,106.99
12635.48,3.52,80.93
12639.19,3.87,94.76
12642.50,4.22,106.08
12645.73,4.57,108.88
12649.92,4.92,83.99
12653.38,5.27,101.61
12657.42,5.62,86.98
12661.43,5.98,87.61
12665.01,6.33,98.34
12669.26,6.68,82.66
12672.77,7.03,100.13
12676.61,7.38,91.60
12681.41,7.73,73.27
12685.42,8.09,87.61
12689.43,8.44,87.61
12693.80,8.79,80.58
12698.72,9.14,71.35
12702.61,9.49,90.56
12707.06,9.84,79.00
12712.51,10.20,64.48
12717.00,10.55,78.25
12722.32,10.90,66.07
12727.64,11.25,66.06
12732.88,11.60,67.14
12739.33,11.95,54.48
12745.27,12.30,59.27
12751.90,12.66,53.02
12758.74,13.01,51.35
12766.16,13.36,47.41
12775.06,13.71,39.51
12784.96,14.06,35.50
12796.87,14.41,29.52
12814.88,14.77,19.52
12878.61,14.41,-5.52
12893.48,14.06,-23.63
12902.73,13.71,-38.01
12912.67,13.36,-35.36
12920.96,13.01,-42.42
12928.20,12.66,-48.55
12935.18,12.30,-50.37
12942.20,11.95,-50.07
12949.29,11.60,-49.64
12955.19,11.25,-59.57
12961.18,10.90,-58.70
12965.97,10.55,-73.26
12971.78,10.20,-60.60
12976.36,9.84,-76.78
12981.24,9.49,-71.97
12986.82,9.14,-62.97
12991.50,8.79,-75.14
12996.42,8.44,-71.51
13001.08,8.09,-75.33
13005.46,7.73,-80.32
13010.38,7.38,-71.51
13014.10,7.03,-94.48
13019.45,6.68,-65.71
13022.72,6.33,-107.48
13027.30,5.98,-76.76
13031.53,5.62,-83.07
13036.11,5.27,-76.78
13039.32,4.92,-109.66
13044.22,4.57,-71.63
13048.33,4.22,-85.75
13052.34,3.87,-87.58
13056.09,3.52,-93.75
13060.28,3.16,-83.97
13063.68,2.81,-103.31
13067.75,2.46,-86.36
13072.32,2.11,-77.01
13075.89,1.76,-98.31
13079.51,1.41,-97.06
13083.74,1.05,-83.11
13087.12,0.70,-104.23
13091.07,0.35,-88.89
13095.08,0.00,-87.61
13099.10,-0.35,-87.63
13103.08,-0.70,-88.24
13106.79,-1.05,-94.63
13110.17,-1.41,-104.01
13114.22,-1.76,-86.98
13118.11,-2.11,-90.21
13122.13,-2.46,-87.63
13126.05,-2.81,-89.55
13129.96,-3.16,-90.01
13133.95,-3.52,-88.18
13137.66,-3.87,-94.76
13141.38,-4.22,-94.43
13145.51,-4.57,-85.17
13149.80,-4.92,-81.82
13153.27,-5.27,-101.37
13157.72,-5.62,-79.02
13161.60,-5.98,-90.56
13166.27,-6.33,-75.30
13169.93,-6.68,-95.98
13174.91,-7.03,-70.72
13179.36,-7.38,-79.00
13183.52,-7.73,-84.41
13188.43,-8.09,-71.63
13192.51,-8.44,-86.13
13197.63,-8.79,-68.66
13201.86,-9.14,-83.07
13207.10,-9.49,-67.17
13211.89,-9.84,-73.27
13217.04,-10.20,-68.30
13222.36,-10.55,-66.06
13227.64,-10.90,-66.61
13233.77,-11.25,-57.37
13239.46,-11.60,-61.76
13245.48,-11.95,-58.40
13251.41,-12.30,-59.27
13258.26,-12.66,-51.35
13266.59,-13.01,-42.19
13273.40,-13.36,-51.67
13282.82,-13.71,-37.31
13292.07,-14.06,-38.02
13302.79,-14.41,-32.76
13317.71,-14.77,-23.56
13343.54,-15.12,-13.61
13401.12,-14.77,6.11
13414.35,-14.41,26.57
13424.32,-14.06,35.25
13434.09,-13.71,35.98
13441.94,-13.36,44.78
13450.84,-13.01,39.50
13458.21,-12.66,47.70
13464.41,-12.30,56.76
13470.99,-11.95,53.38
13477.97,-11.60,50.38
13483.29,-11.25,66.06
13490.19,-10.90,51.00
13495.42,-10.55,67.17
13501.70,-10.20,55.97
13506.06,-9.84,80.60
13512.82,-9.49,52.01
13517.75,-9.14,71.31
13522.25,-8.79,78.25
13527.66,-8.44,64.98
13531.89,-8.09,83.09
13537.03,-7.73,68.30
13542.38,-7.38,65.71
13546.93,-7.03,77.23
13551.56,-6.68,76.01
13556.14,-6.33,76.78
13560.85,-5.98,74.64
13565.04,-5.62,83.93
13569.84,-5.27,73.27
13574.29,-4.92,79.02
13579.00,-4.57,74.63
13583.71,-4.22,74.63
13587.35,-3.87,96.50
13592.08,-3.52,74.29
13596.62,-3.16,77.49
13600.98,-2.81,80.62
13605.74,-3.16,-73.84
13610.12,-2.81,80.21
13614.85,-2.46,74.36
13618.87,-2.11,87.61
13623.40,-1.76,77.50
13628.03,-1.41,76.03
13632.36,-1.05,81.12
13636.99,-0.70,75.93
13641.02,-0.35,87.13
13644.90,0.00,90.61
13650.71,0.35,60.57
13655.42,0.70,74.63
13659.87,1.05,79.02
13664.62,1.41,73.94
13669.00,1.76,80.34
13673.83,2.11,72.85
13679.15,2.46,66.07
13684.36,2.81,67.37
13688.87,3.16,77.95
13693.41,3.52,77.50
13699.53,3.87,57.44
13704.45,4.22,71.54
13709.05,4.57,76.38
13716.09,4.92,49.92
13720.76,5.27,75.30
13727.57,5.62,51.65
13733.50,5.98,59.26
13739.52,6.33,58.42
13746.15,6.68,53.03
13753.04,7.03,51.00
13759.06,7.38,58.42
13768.83,7.73,35.98
13777.64,8.09,39.90
13787.15,8.44,36.97
13796.48,8.79,37.66
13808.17,9.14,30.07
13825.10,9.49,20.77
13846.91,9.84,16.12
13920.50,9.49,-4.78
13932.76,9.14,-28.67
13944.79,8.79,-29.21
13954.60,8.44,-35.83
13963.68,8.09,-38.74
13972.71,7.73,-38.94
13979.60,7.38,-50.97
13987.69,7.03,-43.49
13994.34,6.68,-52.85
14002.01,6.33,-45.80
14009.17,5.98,-49.15
14014.84,5.62,-61.99
14020.69,5.27,-60.13
14027.75,4.92,-49.76
14033.74,4.57,-58.69
14039.48,4.22,-61.23
14044.76,3.87,-66.60
14051.74,3.52,-50.37
14056.45,3.16,-74.64
14062.69,2.81,-56.36
14067.27,2.46,-76.76
14072.85,2.11,-62.97
14078.17,1.76,-66.05
14083.76,1.41,-62.99
14089.60,1.05,-60.15
14094.14,0.70,-77.52
14099.15,0.35,-70.09
14105.04,0.00,-59.71
14109.29,-0.35,-82.82
14114.96,-0.70,-62.00
14119.87,-1.05,-71.54
14125.30,-1.41,-64.76
14130.51,-1.76,-67.45
14134.78,-2.11,-82.26
14139.58,-2.46,-73.29
14145.82,-2.81,-56.34
14151.01,-3.16,-67.74
14155.72,-3.52,-74.66
14161.22,-3.87,-63.97
14166.92,-4.22,-61.67
14171.86,-4.57,-71.12
14176.86,-4.92,-70.30
14182.72,-5.27,-60.00
14188.75,-5.62,-58.26
14194.28,-5.98,-63.63
14199.31,-6.33,-69.88
14206.10,-6.68,-51.78
14211.70,-7.03,-62.80
14216.96,-7.38,-66.80
14223.85,-7.73,-51.01
14230.70,-8.09,-51.34
14236.55,-8.44,-60.15
14242.78,-8.79,-56.36
14251.07,-9.14,-42.42
14258.01,-9.49,-50.69
14266.47,-9.84,-41.54
14274.19,-10.20,-45.54
14284.48,-10.55,-34.16
14292.60,-10.90,-43.32
14304.02,-11.25,-30.77
14318.33,-11.60,-24.57
14335.37,-11.95,-20.63
14360.37,-12.30,-14.06
14435.74,-11.95,4.66
14448.83,-11.60,26.87
14462.26,-11.25,26.17
14473.34,-10.90,31.73
14483.07,-10.55,36.15
14493.45,-10.20,33.87
14502.39,-9.84,39.32
14510.24,-9.49,44.77
14518.01,-9.14,45.28
14526.03,-8.79,43.81
14532.84,-8.44,51.66
14541.38,-8.09,41.13
14547.45,-7.73,57.98
14554.64,-7.38,48.86
14561.10,-7.03,54.46
14568.34,-6.68,48.55
14575.03,-6.33,52.57
14581.34,-5.98,55.72
14587.05,-5.62,61.53
14593.29,-5.27,56.36
14600.03,-4.92,52.17
14605.22,-4.57,67.74
14612.22,-4.22,50.22
14618.33,-3.87,57.58
14624.21,-3.52,59.71
14630.45,-3.16,56.36
14636.65,-2.81,56.76
14642.32,-2.46,62.00
14647.82,-2.11,63.94
14654.79,-1.76,50.39
14660.99,-1.41,56.77
14667.53,-1.05,53.73
14673.90,-0.70,55.21
14679.39,-0.35,63.97
14686.20,0.00,51.66
14693.07,0.35,51.17
14699.63,0.70,53.55
14706.44,1.05,51.66
14713.46,1.41,50.07
14719.65,1.76,56.77
14727.38,2.11,45.52
14734.93,2.46,46.51
14742.35,2.81,47.41
14750.23,3.16,44.61
14759.74,3.52,36.98
14768.18,3.87,41.65
14776.40,4.22,42.76
14787.83,4.57,30.76
14798.43,4.92,33.17
14809.29,5.27,32.37
14826.74,5.62,20.15
14843.31,5.98,21.21
14885.45,6.33,8.34
14947.56,5.98,-5.66
14964.31,5.62,-20.99
14979.84,5.27,-22.64
14991.61,4.92,-29.85
15004.09,4.57,-28.18
15014.53,4.22,-33.68
15024.30,3.87,-35.98
15033.57,3.52,-37.90
15042.54,3.16,-39.22
15051.79,2.81,-38.00
15059.22,2.46,-47.30
15068.64,2.11,-37.31
15075.10,1.76,-54.46
15084.75,1.41,-36.41
15091.06,1.05,-55.72
15099.18,0.70,-43.33
15106.77,0.35,-46.33
15115.52,0.00,-40.16
15120.64,-0.35,-68.70
15130.06,-0.70,-37.31
15136.60,-1.05,-53.73
15145.63,-1.41,-38.94
15152.04,-1.76,-54.83
15159.08,-2.11,-49.96
15166.52,-2.46,-47.22
15173.76,-2.81,-48.56
15181.93,-3.16,-43.03
15189.12,-3.52,-48.94
15197.05,-3.87,-44.29
15204.79,-4.22,-45.45
15213.37,-4.57,-40.98
15221.92,-4.92,-41.12
15230.64,-5.27,-40.30
15238.90,-5.62,-42.57
15248.70,-5.98,-35.88
15256.99,-6.33,-42.42
15267.02,-6.68,-35.04
15277.87,-7.03,-32.41
15290.83,-7.38,-27.11
15303.40,-7.73,-27.99
15318.12,-8.09,-23.88
15333.93,-8.44,-22.23
15359.49,-8.79,-13.76
15454.57,-8.44,3.70
15477.40,-8.09,15.40
15495.14,-7.73,19.82
15508.05,-7.38,27.23
15522.94,-7.03,23.61
15534.83,-6.68,29.56
15545.83,-6.33,31.98
15557.83,-5.98,29.27
15567.55,-5.62,36.20
15578.63,-5.27,31.73
15587.96,-4.92,37.66
15598.65,-4.57,32.90
15609.31,-4.22,32.99
15618.28,-3.87,39.19
15627.57,-3.52,37.84
15636.82,-3.16,38.02
15645.54,-2.81,40.29
15656.10,-2.46,33.30
15663.25,-2.11,49.15
15673.98,-1.76,32.76
15684.29,-1.41,34.09
15693.61,-1.05,37.73
15703.47,-0.70,35.66
15713.59,-0.35,34.74
15723.85,0.00,34.25
15734.67,0.35,32.50
15745.69,0.70,31.90
15756.64,1.05,32.11
15767.42,1.41,32.63
15783.12,1.76,22.39
15795.33,2.11,28.78
15813.04,2.46,19.85
15828.22,2.81,23.16
15857.62,3.16,11.96
15974.22,2.81,-3.02
15995.50,2.46,-16.52
16017.62,2.11,-15.90
16034.28,1.76,-21.10
16049.89,1.41,-22.51
16065.16,1.05,-23.03
16079.03,0.70,-25.35
16092.99,0.35,-25.19
16107.09,0.00,-24.93
16118.29,-0.35,-31.40
16131.72,-0.70,-26.17
16143.30,-1.05,-30.36
16157.46,-1.41,-24.84
16169.50,-1.76,-29.20
16181.99,-2.11,-28.13
16195.84,-2.46,-25.38
16208.05,-2.81,-28.78
16222.36,-3.16,-24.57
16234.73,-3.52,-28.43
16250.19,-3.87,-22.74
16265.98,-4.22,-22.26
16281.42,-4.57,-22.77
16301.14,-4.92,-17.83
16323.21,-5.27,-15.93
16350.42,-5.62,-12.92
16498.73,-5.27,2.37
16525.68,-4.92,13.04
16548.39,-4.57,15.48
16570.61,-4.22,15.82
16590.50,-3.87,17.68
16610.03,-3.52,18.01
16629.67,-3.16,17.90
16648.29,-2.81,18.88
16665.09,-2.46,20.94
16685.76,-2.11,17.00
16705.56,-1.76,17.75
16725.76,-1.41,17.41
16745.50,-1.05,17.81
16768.99,-0.70,14.97
16794.72,-0.35,13.66
16824.09,0.00,11.97
16868.18,0.35,7.97
17030.44,0.00,-2.17
17067.73,-0.35,-9.43
17098.65,-0.70,-11.37
17133.23,-1.05,-10.17
17166.74,-1.41,-10.49
17205.51,-1.76,-9.07
17250.99,-2.11,-7.73
17310.81,-2.46,-5.88
17521.66,-2.11,1.67
17599.79,-1.76,4.50
17723.17,-1.41,2.85
