theta_b,dtheta_b,dtheta_w,B_P,B_D,W_D,time
6.18,0.61,51.85,0.00,0.00,0.00,3764
6.37,0.61,51.85,0.00,0.00,0.00,3772
6.56,0.61,61.00,0.00,0.00,0.00,3780
6.75,0.61,70.15,0.00,0.00,0.00,3788
6.94,0.61,70.15,0.00,0.00,0.00,3796
7.12,0.61,48.80,0.00,0.00,0.00,3804
7.31,0.61,45.75,0.00,0.00,0.00,3812
7.49,0.61,45.75,0.00,0.00,0.00,3820
7.67,0.49,64.05,0.00,0.00,0.00,3828
7.85,0.61,51.85,0.00,0.00,0.00,3837
8.03,0.61,51.85,0.00,0.00,0.00,3847
8.21,0.61,57.95,0.00,0.00,0.00,3857
8.39,0.61,45.75,0.00,0.00,0.00,3867
8.56,0.61,45.75,0.00,0.00,0.00,3877
8.74,0.67,61.00,0.00,0.00,0.00,3887
8.91,0.61,45.75,0.00,0.00,0.00,3897
9.09,0.61,45.75,0.00,0.00,0.00,3907
9.26,0.61,51.85,0.00,0.00,0.00,3917
9.43,0.61,57.95,0.00,0.00,0.00,3927
9.60,0.61,57.95,0.00,0.00,0.00,3937
9.77,0.61,54.90,0.00,0.00,0.00,3947
9.93,0.61,51.85,0.00,0.00,0.00,3957
10.10,0.61,51.85,0.00,0.00,0.00,3967
10.26,0.61,42.70,0.00,0.00,0.00,3977
10.43,0.61,48.80,0.00,0.00,0.00,3987
10.59,0.61,48.80,0.00,0.00,0.00,3997
10.75,0.67,48.80,0.00,0.00,0.00,4007
10.92,0.61,54.90,0.00,0.00,0.00,4017
11.08,0.61,54.90,0.00,0.00,0.00,4027
11.23,0.61,57.95,0.00,0.00,0.00,4037
11.39,0.61,51.85,0.00,0.00,0.00,4047
11.55,0.49,51.85,0.00,0.00,0.00,4057
11.70,0.61,70.15,0.00,0.00,0.00,4067
11.86,0.67,57.95,0.00,0.00,0.00,4077
12.01,0.61,57.95,0.00,0.00,0.00,4086
12.16,0.61,51.85,0.00,0.00,0.00,4094
12.31,0.49,48.80,0.00,0.00,0.00,4102
12.46,0.49,48.80,0.00,0.00,0.00,4110
12.61,0.61,39.65,0.00,0.00,0.00,4118
12.76,0.61,48.80,0.00,0.00,0.00,4126
12.91,0.67,48.80,0.00,0.00,0.00,4134
13.05,0.61,45.75,0.00,0.00,0.00,4142
13.20,0.61,45.75,0.00,0.00,0.00,4150
13.34,0.61,45.75,0.00,0.00,0.00,4158
13.48,0.61,51.85,0.00,0.00,0.00,4166
13.62,0.67,51.85,0.00,0.00,0.00,4174
13.77,0.61,51.85,0.00,0.00,0.00,4184
13.91,0.61,51.85,0.00,0.00,0.00,4194
14.04,0.43,48.80,0.00,0.00,0.00,4204
14.18,0.61,48.80,0.00,0.00,0.00,4214
14.32,0.67,39.65,0.00,0.00,0.00,4224
14.46,0.61,64.05,0.00,0.00,0.00,4234
14.59,0.61,64.05,0.00,0.00,0.00,4244
14.72,0.49,57.95,0.00,0.00,0.00,4254
14.85,0.61,51.85,0.00,0.00,0.00,4264
14.99,0.61,51.85,0.00,0.00,0.00,4274
15.12,0.61,45.75,0.00,0.00,0.00,4284
15.25,0.67,70.15,0.00,0.00,0.00,4294
15.38,0.61,70.15,0.00,0.00,0.00,4304
15.51,0.61,54.90,0.00,0.00,0.00,4314
15.63,0.49,57.95,0.00,0.00,0.00,4324
15.76,0.49,57.95,0.00,0.00,0.00,4334
15.88,0.61,67.10,0.00,0.00,0.00,4344
16.01,0.61,45.75,0.00,0.00,0.00,4354
16.14,0.67,45.75,0.00,0.00,0.00,4364
16.26,0.67,48.80,0.00,0.00,0.00,4374
16.38,0.61,51.85,0.00,0.00,0.00,4384
16.50,0.61,51.85,0.00,0.00,0.00,4394
16.63,0.61,42.70,0.00,0.00,0.00,4404
16.75,0.61,54.90,0.00,0.00,0.00,4414
16.86,0.49,54.90,0.00,0.00,0.00,4424
16.98,0.49,54.90,0.00,0.00,0.00,4434
17.10,0.49,51.85,0.00,0.00,0.00,4443
17.21,0.61,51.85,0.00,0.00,0.00,4451
17.33,0.61,45.75,0.00,0.00,0.00,4459
17.44,0.61,42.70,0.00,0.00,0.00,4467
17.56,0.61,42.70,0.00,0.00,0.00,4475
17.67,0.61,45.75,0.00,0.00,0.00,4483
17.78,0.61,51.85,0.00,0.00,0.00,4491
17.89,0.61,51.85,0.00,0.00,0.00,4499
18.00,0.61,61.00,0.00,0.00,0.00,4507
18.11,0.61,45.75,0.00,0.00,0.00,4515
18.22,0.61,45.75,0.00,0.00,0.00,4523
18.33,0.49,57.95,0.00,0.00,0.00,4532
18.44,0.61,48.80,0.00,0.00,0.00,4542
18.54,0.61,48.80,0.00,0.00,0.00,4552
18.65,0.61,54.90,0.00,0.00,0.00,4562
18.75,0.61,70.15,0.00,0.00,0.00,4572
18.86,0.61,70.15,0.00,0.00,0.00,4582
18.96,0.49,48.80,0.00,0.00,0.00,4592
19.07,0.61,39.65,0.00,0.00,0.00,4602
19.17,0.61,39.65,0.00,0.00,0.00,4612
19.27,0.61,51.85,0.00,0.00,0.00,4622
19.37,0.49,54.90,0.00,0.00,0.00,4632
19.47,0.61,54.90,0.00,0.00,0.00,4642
19.57,0.49,54.90,0.00,0.00,0.00,4652
19.67,0.61,51.85,0.00,0.00,0.00,4662
19.77,0.61,51.85,0.00,0.00,0.00,4672
19.86,0.61,48.80,0.00,0.00,0.00,4682
19.96,0.61,36.60,0.00,0.00,0.00,4692
20.06,0.67,36.60,0.00,0.00,0.00,4702
20.15,0.61,64.05,0.00,0.00,0.00,4712
20.25,0.61,48.80,0.00,0.00,0.00,4722
20.34,0.61,48.80,0.00,0.00,0.00,4732
20.43,0.61,51.85,0.00,0.00,0.00,4742
20.53,0.61,45.75,0.00,0.00,0.00,4752
20.62,0.61,45.75,0.00,0.00,0.00,4762
20.71,0.61,45.75,0.00,0.00,0.00,4772
20.80,0.61,51.85,0.00,0.00,0.00,4782
20.89,0.61,51.85,0.00,0.00,0.00,4792
20.98,0.61,54.90,0.00,0.00,0.00,4802
21.07,0.61,79.30,0.00,0.00,0.00,4812
21.16,0.61,79.30,0.00,0.00,0.00,4822
21.25,0.61,54.90,0.00,0.00,0.00,4832
21.33,0.61,51.85,0.00,0.00,0.00,4840
21.42,0.61,51.85,0.00,0.00,0.00,4848
21.51,0.61,54.90,0.00,0.00,0.00,4856
21.59,0.61,57.95,0.00,0.00,0.00,4864
21.68,0.61,57.95,0.00,0.00,0.00,4872
21.76,0.61,54.90,0.00,0.00,0.00,4880
21.85,0.61,51.85,0.00,0.00,0.00,4888
21.93,0.61,51.85,0.00,0.00,0.00,4896
22.01,0.61,48.80,0.00,0.00,0.00,4904
22.09,0.61,57.95,0.00,0.00,0.00,4912
22.17,0.61,57.95,0.00,0.00,0.00,4920
22.25,0.61,54.90,0.00,0.00,0.00,4928
22.33,0.61,45.75,0.00,0.00,0.00,4936
22.41,0.61,45.75,0.00,0.00,0.00,4946
22.49,0.61,48.80,0.00,0.00,0.00,4956
22.57,0.61,45.75,0.00,0.00,0.00,4966
22.64,0.67,45.75,0.00,0.00,0.00,4976
22.72,0.61,54.90,0.00,0.00,0.00,4986
22.80,0.61,45.75,0.00,0.00,0.00,4996
22.88,0.61,45.75,0.00,0.00,0.00,5006
22.95,0.61,48.80,0.00,0.00,0.00,5016
23.03,0.61,54.90,0.00,0.00,0.00,5026
23.10,0.61,54.90,0.00,0.00,0.00,5036
23.18,0.61,45.75,0.00,0.00,0.00,5046
23.25,0.61,48.80,0.00,0.00,0.00,5056
23.32,0.61,48.80,0.00,0.00,0.00,5066
23.39,0.61,45.75,0.00,0.00,0.00,5076
23.46,0.61,51.85,0.00,0.00,0.00,5086
23.53,0.61,51.85,0.00,0.00,0.00,5096
23.61,0.61,54.90,0.00,0.00,0.00,5106
23.68,0.61,45.75,0.00,0.00,0.00,5116
23.75,0.61,45.75,0.00,0.00,0.00,5126
23.81,0.61,54.90,0.00,0.00,0.00,5136
23.88,0.61,42.70,0.00,0.00,0.00,5146
23.95,0.61,42.70,0.00,0.00,0.00,5155
24.02,0.61,51.85,0.00,0.00,0.00,5165
24.09,0.61,57.95,0.00,0.00,0.00,5175
24.15,0.61,57.95,0.00,0.00,0.00,5185
24.22,0.61,51.85,0.00,0.00,0.00,5195
24.29,0.61,48.80,0.00,0.00,0.00,5205
24.35,0.61,48.80,0.00,0.00,0.00,5215
24.42,0.49,54.90,0.00,0.00,0.00,5224
24.48,0.61,51.85,0.00,0.00,0.00,5232
24.55,0.49,51.85,0.00,0.00,0.00,5240
24.61,0.61,45.75,0.00,0.00,0.00,5248
24.67,0.61,61.00,0.00,0.00,0.00,5256
24.73,0.61,61.00,0.00,0.00,0.00,5264
24.80,0.61,51.85,0.00,0.00,0.00,5272
24.86,0.61,45.75,0.00,0.00,0.00,5280
24.92,0.49,45.75,0.00,0.00,0.00,5288
24.98,0.61,51.85,0.00,0.00,0.00,5296
25.04,0.61,33.55,0.00,0.00,0.00,5304
25.10,0.61,33.55,0.00,0.00,0.00,5312
25.16,0.61,51.85,0.00,0.00,0.00,5321
25.22,0.61,39.65,0.00,0.00,0.00,5331
25.28,0.61,39.65,0.00,0.00,0.00,5341
25.33,0.61,-134.20,0.00,0.00,0.00,5351
25.39,0.61,-530.70,0.00,0.00,0.00,5361
25.45,0.61,-530.70,0.00,0.00,0.00,5371
25.50,0.61,-677.10,0.00,0.00,0.00,5381
25.56,0.67,-945.50,0.00,0.00,0.00,5391
25.62,0.67,-945.50,0.00,0.00,0.00,5401
25.67,0.61,-1091.90,0.00,0.00,0.00,5411
25.73,0.61,-1287.10,0.00,0.00,0.00,5421
25.79,0.61,-1287.10,0.00,0.00,0.00,5431
25.84,0.61,-1515.85,0.00,0.00,0.00,5441
25.89,0.61,-1643.95,0.00,0.00,0.00,5451
25.95,0.61,-1643.95,0.00,0.00,0.00,5461
26.00,0.61,-1854.40,0.00,0.00,0.00,5471
26.05,0.61,-2046.55,0.00,0.00,0.00,5481
26.11,0.61,-2046.55,0.00,0.00,0.00,5491
26.16,0.61,-2208.20,0.00,0.00,0.00,5501
26.21,0.61,-2436.95,0.00,0.00,0.00,5511
26.26,0.67,-2436.95,0.00,0.00,0.00,5521
26.32,0.67,-2644.35,0.00,0.00,0.00,5531
26.37,0.61,-2839.55,0.00,0.00,0.00,5541
26.42,0.61,-2839.55,0.00,0.00,0.00,5551
26.47,0.61,-2995.10,0.00,0.00,0.00,5561
26.52,0.43,-3202.50,0.00,0.00,0.00,5571
26.57,0.61,-3202.50,0.00,0.00,0.00,5581
26.62,0.61,-3364.15,0.00,0.00,0.00,5591
26.66,0.61,-3559.35,0.00,0.00,0.00,5599
26.71,0.67,-3559.35,0.00,0.00,0.00,5607
26.76,0.61,-3730.15,0.00,0.00,0.00,5615
26.81,0.61,-3946.70,0.00,0.00,0.00,5623
26.86,0.49,-3946.70,0.00,0.00,0.00,5631
26.90,0.61,-4141.90,0.00,0.00,0.00,5639
26.95,0.67,-4349.30,0.00,0.00,0.00,5647
27.00,0.61,-4349.30,0.00,0.00,0.00,5655
27.04,0.61,-4529.25,0.00,0.00,0.00,5663
27.09,0.49,-4703.10,0.00,0.00,0.00,5671
27.13,0.49,-4703.10,0.00,0.00,0.00,5679
27.18,0.61,-4858.65,0.00,0.00,0.00,5687
27.22,0.61,-5102.65,0.00,0.00,0.00,5696
27.27,0.61,-5102.65,0.00,0.00,0.00,5706
27.31,0.67,-5291.75,0.00,0.00,0.00,5716
27.35,0.61,-5441.20,0.00,0.00,0.00,5726
27.40,0.61,-5441.20,0.00,0.00,0.00,5736
27.44,0.61,-5599.80,0.00,0.00,0.00,5746
27.48,0.61,-5849.90,0.00,0.00,0.00,5756
27.52,0.61,-5849.90,0.00,0.00,0.00,5766
27.56,0.61,-6020.70,0.00,0.00,0.00,5776
27.60,0.61,-6167.10,0.00,0.00,0.00,5786
27.65,0.61,-6167.10,0.00,0.00,0.00,5796
27.69,0.61,-6334.85,0.00,0.00,0.00,5806
27.73,0.61,-6591.05,0.00,0.00,0.00,5816
27.77,0.61,-6591.05,0.00,0.00,0.00,5826
27.81,0.61,-6746.60,0.00,0.00,0.00,5836
27.85,0.61,-6902.15,0.00,0.00,0.00,5846
27.89,0.61,-6902.15,0.00,0.00,0.00,5856
27.92,0.61,-7109.55,0.00,0.00,0.00,5866
27.96,0.49,-7292.55,0.00,0.00,0.00,5876
28.00,0.67,-7292.55,0.00,0.00,0.00,5886
28.04,0.61,-7435.90,0.00,0.00,0.00,5896
28.08,0.61,-7625.00,0.00,0.00,0.00,5906
28.12,0.49,-7625.00,0.00,0.00,0.00,5916
28.15,0.61,-7841.55,0.00,0.00,0.00,5926
28.19,0.61,-8039.80,0.00,0.00,0.00,5936
28.23,0.61,-8039.80,0.00,0.00,0.00,5946
28.26,0.61,-8180.10,0.00,0.00,0.00,5956
28.30,0.61,-8421.05,0.00,0.00,0.00,5966
28.34,0.61,-8421.05,0.00,0.00,0.00,5976
28.37,0.49,-8567.45,0.00,0.00,0.00,5985
28.41,0.61,-8719.95,0.00,0.00,0.00,5993
28.44,0.67,-8719.95,0.00,0.00,0.00,6001
28.48,0.67,-8954.80,0.00,0.00,0.00,6009
28.51,0.49,-9073.75,0.00,0.00,0.00,6017
28.55,0.49,-9073.75,0.00,0.00,0.00,6025
28.58,0.49,-9299.45,0.00,0.00,0.00,6033
28.62,0.61,-9506.85,0.00,0.00,0.00,6041
28.65,0.67,-9506.85,0.00,0.00,0.00,6049
28.68,0.67,-9586.15,0.00,0.00,0.00,6057
28.72,0.49,-9848.45,0.00,0.00,0.00,6065
28.75,0.61,-9848.45,0.00,0.00,0.00,6073
28.78,0.49,-9933.85,0.00,0.00,0.00,6081
28.82,0.61,-10217.50,0.00,0.00,0.00,6090
