time,theta_b,dtheta_b,dtheta_w
1195.09,-16.46,-3.34,647.24,-1.00
1200.16,-16.52,-13.40,647.24,-1.00
1205.24,-16.57,-13.43,647.24,-1.00
1221.75,-16.63,-13.46,647.24,-1.00
1226.83,-16.69,-3.37,647.24,-1.00
1231.91,-16.75,-13.59,647.24,-1.00
1248.42,-16.80,-14.22,647.24,-1.00
1253.49,-16.92,-13.35,647.24,-1.00
1258.57,-16.97,-13.09,647.24,-1.00
1275.08,-17.03,-3.21,647.24,-1.00
1280.16,-17.09,-13.09,647.24,-1.00
1285.24,-17.14,-12.96,647.24,-1.00
1301.75,-17.20,-13.05,647.24,-1.00
1306.83,-17.25,-3.23,647.24,-1.00
1311.90,-17.31,-13.59,647.24,-1.00
1328.42,-17.37,-13.77,647.24,-1.00
1333.50,-17.42,-3.57,647.24,-1.00
1338.57,-17.48,-11.47,647.24,-1.00
1355.08,-17.53,-11.58,647.24,-1.00
1360.16,-17.59,-3.23,647.24,-1.00
1365.24,-17.64,-11.36,647.24,-1.00
1381.75,-17.70,-11.24,647.24,-1.00
1386.83,-17.75,-3.15,647.24,-1.00
1391.90,-17.80,-11.14,647.24,-1.00
1408.42,-17.86,-11.21,647.24,-1.00
1413.50,-17.91,-3.13,647.24,-1.00
1418.57,-18.02,-12.00,647.24,-1.00
1435.08,-18.02,-12.00,647.24,-1.00
1440.16,-18.07,-3.03,647.24,-1.00
1445.24,-18.12,-10.71,647.24,-1.00
1461.75,-18.18,-10.81,647.24,-1.00
1466.83,-18.23,-3.08,647.24,-1.00
1471.91,-18.28,-10.98,647.24,-1.00
1488.42,-18.33,-11.00,647.24,-1.00
1493.50,-18.39,-3.07,647.24,-1.00
1498.57,-18.44,-10.80,647.24,-1.00
1515.09,-18.49,-10.59,647.24,-1.00
1520.16,-18.54,-3.07,647.24,-1.00
1525.24,-18.65,-11.63,647.24,-1.00
1541.75,-18.65,-11.63,647.24,-1.00
1546.83,-18.70,-2.85,647.24,-1.00
1551.90,-18.70,-2.85,647.24,-1.00
1568.41,-18.70,-2.85,647.24,-1.00
1573.48,-18.70,-2.85,647.24,-1.00
1578.55,-18.70,-2.85,647.24,-1.00
1595.07,-18.70,-2.85,647.24,-1.00
1600.15,-18.70,-2.85,647.24,-1.00
1605.22,-20.56,-30.96,647.24,-1.00
1621.75,-20.60,-9.02,647.24,-1.00
1626.83,-20.65,-2.48,647.24,-1.00
1631.90,-20.69,-10.90,647.24,-1.00
1648.42,-20.74,-11.04,647.24,-1.00
1653.49,-20.82,-10.51,647.24,-1.00
1658.57,-20.87,-10.15,647.24,-1.00
1675.08,-20.91,-2.44,647.24,-1.00
1680.16,-20.95,-10.07,647.24,-1.00
1685.23,-21.00,-10.04,647.24,-1.00
1701.75,-21.04,-10.02,647.24,-1.00
1706.82,-21.08,-2.46,647.24,-1.00
1711.90,-21.12,-10.18,647.24,-1.00
1728.41,-21.17,-10.95,647.24,-1.00
1733.48,-21.25,-10.12,647.24,-1.00
1738.56,-21.29,-10.49,647.24,-1.00
1755.09,-21.34,-10.58,647.24,-1.00
1760.17,-21.38,-2.41,647.24,-1.00
1765.24,-21.42,-10.24,647.24,-1.00
1781.75,-21.46,-10.49,647.24,-1.00
1786.83,-21.55,-10.34,647.24,-1.00
1791.90,-21.59,-10.26,647.24,-1.00
1808.41,-21.63,-10.10,647.24,-1.00
1813.49,-21.67,-2.36,647.24,-1.00
1818.56,-21.71,-9.75,647.24,-1.00
1835.08,-21.75,-10.30,647.24,-1.00
1840.16,-21.83,-9.26,647.24,-1.00
1845.24,-21.87,-9.42,647.24,-1.00
1861.75,-21.91,-2.29,647.24,-1.00
1866.83,-21.95,-8.36,647.24,-1.00
1871.90,-21.99,-8.26,647.24,-1.00
1888.42,-21.99,-8.26,647.24,-1.00
1893.49,-22.03,-2.26,647.24,-1.00
1898.57,-22.07,-8.35,647.24,-1.00
1915.09,-22.11,-8.17,647.24,-1.00
1920.16,-22.15,-2.34,647.24,-1.00
1925.24,-22.23,-9.10,647.24,-1.00
1941.75,-22.23,-9.10,647.24,-1.00
1946.83,-22.27,-2.26,647.24,-1.00
1951.90,-22.35,-7.91,647.24,-1.00
1968.42,-22.35,-7.91,647.24,-1.00
1973.49,-22.39,-2.26,647.24,-1.00
1978.57,-22.43,-8.15,647.24,-1.00
1995.09,-22.46,-7.85,647.24,-1.00
2000.17,-22.50,-2.22,647.24,-1.00
2005.24,-22.54,-8.19,647.24,-1.00
2021.75,-22.58,-7.73,647.24,-1.00
2026.83,-22.62,-2.26,647.24,-1.00
2031.90,-22.69,-8.31,647.24,-1.00
2048.42,-22.69,-8.31,647.24,-1.00
2053.49,-22.73,-2.08,647.24,-1.00
2058.57,-22.73,-2.08,647.24,-1.00
2075.07,-22.73,-2.08,647.24,-1.00
2080.15,-22.73,-2.08,647.24,-1.00
2085.22,-22.73,-2.08,647.24,-1.00
2101.74,-22.73,-2.08,647.24,-1.00
2106.82,-22.73,-2.08,647.24,-1.00
2111.89,-22.73,-2.08,647.24,-1.00
2128.41,-24.07,-21.06,647.24,-1.00
2133.49,-24.14,-8.10,647.24,-1.00
2138.56,-24.17,-8.10,647.24,-1.00
2155.07,-24.21,-8.29,647.24,-1.00
2160.15,-24.24,-1.89,647.24,-1.00
2165.22,-24.27,-7.74,647.24,-1.00
2181.74,-24.30,-7.38,647.24,-1.00
2186.81,-24.37,-7.37,647.24,-1.00
2191.89,-24.40,-7.86,647.24,-1.00
2208.41,-24.43,-7.93,647.24,-1.00
2213.49,-24.46,-1.85,647.24,-1.00
2218.56,-24.49,-7.50,647.24,-1.00
2235.07,-24.53,-7.96,647.24,-1.00
2240.15,-24.59,-7.67,647.24,-1.00
2245.22,-24.62,-7.87,647.24,-1.00
2261.74,-24.65,-7.70,647.24,-1.00
2266.81,-24.68,-1.80,647.24,-1.00
2271.89,-24.71,-7.20,647.24,-1.00
2288.40,-24.74,-7.18,647.24,-1.00
2293.48,-24.81,-7.39,647.24,-1.00
2298.55,-24.84,-7.17,647.24,-1.00
2315.08,-24.87,-1.79,647.24,-1.00
2320.16,-24.90,-7.28,647.24,-1.00
2325.23,-24.93,-7.63,647.24,-1.00
2341.74,-24.96,-7.73,647.24,-1.00
2346.81,-25.02,-6.95,647.24,-1.00
2351.90,-25.05,-6.96,647.24,-1.00
2368.42,-25.08,-1.71,647.24,-1.00
2373.50,-25.11,-5.99,647.24,-1.00
2378.57,-25.14,-6.02,647.24,-1.00
2395.09,-25.14,-6.02,647.24,-1.00
2400.16,-25.17,-1.73,647.24,-1.00
2405.24,-25.23,-6.29,647.24,-1.00
2421.75,-25.23,-6.29,647.24,-1.00
2426.83,-25.26,-1.68,647.24,-1.00
2431.90,-25.31,-6.47,647.24,-1.00
2448.42,-25.31,-6.47,647.24,-1.00
2453.49,-25.34,-1.67,647.24,-1.00
2458.57,-25.37,-5.93,647.24,-1.00
2475.08,-25.41,-6.88,647.24,-1.00
2480.16,-25.47,-3.89,647.24,-1.00
2485.24,-25.47,-0.02,647.24,-1.00
2501.75,-25.44,7.35,647.24,-1.00
2506.83,-25.41,1.31,647.24,-1.00
2511.90,-25.40,2.70,647.24,-1.00
2528.42,-25.37,6.67,647.24,-1.00
2533.49,-25.35,1.36,647.24,-1.00
2538.58,-25.34,-0.40,647.24,-1.00
2555.08,-25.34,-0.40,647.24,-1.00
2560.16,-25.37,-1.68,647.24,-1.00
2565.24,-25.51,-17.05,647.24,-1.00
2581.75,-25.51,-17.05,647.24,-1.00
2586.83,-25.60,-4.91,647.24,-1.00
2591.90,-25.60,-4.91,647.24,-1.00
2608.40,-25.60,-4.91,647.24,-1.00
2613.48,-25.60,-4.91,647.24,-1.00
2618.55,-25.60,-4.91,647.24,-1.00
2635.07,-25.60,-4.91,647.24,-1.00
2640.15,-25.60,-4.91,647.24,-1.00
2645.22,-26.95,-21.88,647.24,-1.00
2661.75,-26.95,-21.88,647.24,-1.00
2666.83,-26.94,2.54,647.24,-1.00
2671.91,-26.92,4.88,647.24,-1.00
2688.42,-26.90,1.48,647.24,-1.00
2693.49,-26.87,5.90,647.24,-1.00
2698.57,-26.85,5.24,647.24,-1.00
2715.08,-26.84,3.34,647.24,-1.00
2720.16,-26.83,0.49,647.24,-1.00
2725.23,-26.83,-0.18,647.24,-1.00
2741.75,-26.84,-2.74,647.24,-1.00
2746.83,-26.91,-10.56,647.24,-1.00
2751.91,-26.97,-12.58,647.24,-1.00
2768.42,-27.02,-3.14,647.24,-1.00
2773.50,-27.08,-13.84,647.24,-1.00
2778.57,-27.12,-11.96,647.24,-1.00
2795.07,-27.15,-7.06,647.24,-1.00
2800.15,-27.16,1.13,647.24,-1.00
2805.22,-27.14,3.34,647.24,-1.00
2821.75,-27.13,2.78,647.24,-1.00
2826.82,-27.13,-0.02,647.24,-1.00
2831.90,-27.14,-1.88,647.24,-1.00
2848.42,-27.16,-4.27,647.24,-1.00
2853.50,-27.21,-6.46,647.24,-1.00
2858.57,-27.24,-8.54,647.24,-1.00
2875.08,-27.29,-2.62,647.24,-1.00
2880.16,-27.29,-2.62,647.24,-1.00
2885.23,-27.29,-2.62,647.24,-1.00
2901.74,-27.29,-2.62,647.24,-1.00
2906.81,-27.29,-2.62,647.24,-1.00
2911.89,-27.29,-2.62,647.24,-1.00
2927.81,-27.29,-2.62,647.24,-1.00
2932.89,-27.29,-2.62,647.24,-1.00
2937.96,-27.29,-2.62,647.24,-1.00
2955.09,-27.94,-10.07,647.24,-1.00
2960.16,-27.97,-1.48,647.24,-1.00
2965.24,-28.00,-6.70,647.24,-1.00
2981.74,-28.03,-7.36,647.24,-1.00
2986.81,-28.10,-8.04,647.24,-1.00
2991.89,-28.13,-6.77,647.24,-1.00
3008.42,-28.16,-1.47,647.24,-1.00
3013.49,-28.18,-5.24,647.24,-1.00
