time,theta_b,dtheta_b,dtheta_w,action
1471.00,0.70,0.24,-49.69,2.00
1484.46,1.05,26.12,-49.69,2.00
1496.05,1.41,30.32,-52.50,2.00
1504.77,1.76,40.33,-52.50,2.00
1512.66,2.11,44.56,-52.50,2.00
1520.02,2.46,47.75,-52.50,2.00
1526.18,2.81,57.13,-52.50,2.00
1530.85,3.16,75.28,-52.50,2.00
1537.60,3.52,52.08,-52.50,2.00
1542.93,3.87,65.96,-52.50,2.00
1548.89,4.22,58.98,-52.50,2.00
1553.70,4.57,73.09,-52.50,2.00
1558.09,4.92,80.14,-52.50,2.00
1563.27,5.27,67.78,-52.50,2.00
1567.59,5.62,81.47,-52.50,2.00
1572.96,5.98,65.50,-52.50,2.00
1577.74,6.33,73.44,-52.50,2.00
1581.32,6.68,98.37,-52.50,2.00
1587.16,7.03,60.19,-52.50,2.00
1591.17,7.38,87.67,-52.50,2.00
1595.53,7.73,80.63,-52.50,2.00
1600.19,8.09,75.33,-52.50,2.00
1604.59,8.44,79.90,-52.50,2.00
1609.35,8.79,73.95,-52.50,2.00
1613.99,9.14,75.78,-52.50,2.00
1618.28,9.49,81.85,-52.50,2.00
1623.25,9.84,70.74,-49.69,2.00
1627.44,10.20,84.07,-49.69,2.00
1632.14,10.55,74.67,-49.69,2.00
1635.98,10.90,91.65,-52.50,2.00
1640.66,11.25,75.15,-52.50,2.00
1644.52,11.60,90.98,-52.50,2.00
1649.27,11.95,74.00,-52.50,2.00
1653.59,12.30,81.46,-52.50,2.00
1657.77,12.66,84.03,-52.50,2.00
1662.74,13.01,70.74,-52.50,2.00
1666.84,13.36,85.81,-49.69,2.00
1671.05,13.71,83.45,-49.69,2.00
1675.91,14.06,72.43,-49.69,2.00
1680.26,14.41,80.67,-49.69,2.00
1684.10,14.77,91.65,-49.69,2.00
1688.55,15.12,79.07,-49.69,2.00
1692.03,15.47,100.82,-52.50,2.00
1696.32,15.82,81.93,-52.50,2.00
1700.58,16.17,82.66,-52.50,2.00
1704.76,16.52,84.03,-52.50,2.00
1708.79,16.88,87.19,-52.50,2.00
1712.53,17.23,94.05,-52.50,2.00
1716.06,17.58,99.76,-52.50,2.00
1721.11,17.93,69.53,-52.50,2.00
1725.13,18.28,87.43,-52.50,2.00
1728.78,18.63,96.29,-52.50,2.00
1733.14,18.98,80.65,-52.50,2.00
1737.15,19.34,87.67,-49.69,2.00
1741.34,19.69,84.01,-49.69,2.00
1745.34,20.04,87.72,-49.69,2.00
1749.57,20.39,83.17,-52.50,2.00
1753.36,20.74,92.71,-52.50,2.00
1758.33,21.09,70.75,-52.50,2.00
1762.12,21.45,92.71,-52.50,2.00
1766.88,21.80,73.98,-49.69,2.00
1770.23,22.15,104.76,-49.69,2.00
1775.36,22.50,68.58,-49.69,2.00
1779.21,22.85,91.24,-49.69,2.00
1784.18,23.20,70.74,-49.69,2.00
1789.02,23.55,72.67,-49.69,2.00
1793.03,23.91,87.67,-49.69,2.00
1797.35,24.26,81.46,-49.69,2.00
1802.56,24.61,67.49,-49.69,2.00
1806.50,24.96,89.14,-52.50,2.00
1811.08,25.31,76.81,-52.50,2.00
1816.05,25.66,70.75,-52.50,2.00
1820.60,26.02,77.18,-49.69,2.00
1824.89,26.37,81.87,-49.69,2.00
1829.60,26.72,74.67,-49.69,2.00
1834.44,27.07,72.65,-52.50,2.00
1838.80,27.42,80.60,-52.50,2.00
1843.25,27.77,79.07,-52.50,2.00
1847.89,28.12,75.74,-52.50,2.00
1852.46,28.48,76.93,-49.69,2.00
1857.18,28.83,74.58,-49.69,2.00
1861.39,29.18,83.33,-49.69,2.00
1866.05,29.53,75.57,-49.69,2.00
1870.89,29.88,72.65,-49.69,2.00
1875.02,30.23,84.98,-49.69,2.00
1880.03,30.59,70.26,-49.69,2.00
1884.79,30.94,73.86,-49.69,2.00
1888.85,31.29,86.42,-49.69,2.00
1893.59,31.64,74.22,-49.69,2.00
1898.65,31.99,69.53,-49.69,2.00
1903.27,32.34,76.10,-49.69,2.00
1908.11,32.70,72.65,-49.69,2.00
1913.77,33.05,62.05,-49.69,2.00
1918.70,33.40,71.37,-49.69,2.00
1923.71,33.75,70.09,-52.50,2.00
1928.64,34.10,71.41,-52.50,2.00
1933.46,34.45,72.91,-52.50,2.00
1939.15,34.80,61.83,-52.50,2.00
1944.16,35.16,70.14,-52.50,2.00
1949.21,35.51,69.51,-49.69,2.00
1954.84,35.86,62.53,-49.69,2.00
1959.89,36.21,69.53,-49.69,2.00
1966.26,36.56,55.23,-52.50,2.00
1970.96,36.91,74.69,-52.50,2.00
1976.19,37.27,67.25,-52.50,2.00
1981.82,37.62,62.52,-52.50,2.00
1987.13,37.97,66.11,-52.50,2.00
1992.97,38.32,60.19,-52.50,2.00
1997.59,38.67,76.10,-52.50,2.00
2004.44,39.02,51.34,-52.50,2.00
2009.54,39.38,68.93,-52.50,2.00
2014.60,39.73,69.58,-52.50,2.00
2020.05,40.08,64.42,-52.50,2.00
2026.30,40.43,56.25,-52.50,2.00
2030.95,40.78,75.72,-52.50,2.00
2036.26,41.13,66.12,-52.50,2.00
2042.81,41.48,53.68,-52.50,2.00
2049.01,41.84,56.74,-49.69,2.00
2055.71,42.19,52.47,-49.69,2.00
2061.28,42.54,63.05,-49.69,2.00
2068.00,42.89,52.36,-52.50,2.00
2074.75,43.24,52.06,-52.50,2.00
2083.82,43.59,38.77,-52.50,2.00
2091.11,43.95,48.20,-52.50,2.00
2099.64,44.30,41.21,-52.50,2.00
2110.22,44.65,33.24,-52.50,2.00
2117.95,45.00,45.50,-52.50,2.00
2127.63,45.35,36.32,-49.69,2.00
2136.96,45.70,37.69,-52.50,2.00
2146.72,46.05,36.01,-52.50,2.00
2153.67,46.41,50.61,-52.50,2.00
2163.37,46.76,36.22,-52.50,2.00
2171.83,47.11,41.57,-52.50,2.00
2181.55,47.46,36.18,-55.31,2.00
2189.98,47.81,41.68,-55.31,2.00
2199.92,48.16,35.38,-52.50,2.00
2208.66,48.52,40.21,-52.50,2.00
2217.86,48.87,38.23,-52.50,2.00
2228.80,49.22,32.14,-49.69,2.00
2240.93,49.57,28.97,-52.50,2.00
2251.77,49.92,32.43,-52.50,2.00
2264.52,50.27,27.57,-52.50,2.00
2275.31,50.62,32.59,-52.50,2.00
2288.25,50.98,27.16,-52.50,2.00
2298.85,51.33,33.19,-52.50,2.00
2311.77,51.68,27.20,-52.50,2.00
2322.34,52.03,33.25,-52.50,2.00
2333.92,52.38,30.37,-52.50,2.00
2345.53,52.73,30.28,-49.69,2.00
2356.82,53.09,31.13,-52.50,2.00
2368.31,53.44,30.59,-55.31,2.00
2381.41,53.79,26.86,-52.50,2.00
2394.44,54.14,26.98,-52.50,2.00
2408.05,54.49,25.82,-52.50,2.00
2423.98,54.84,22.08,-52.50,2.00
2437.20,55.20,26.59,-52.50,2.00
2452.55,55.55,22.91,-49.69,2.00
2464.05,55.90,30.55,-49.69,2.00
2477.24,56.25,26.67,-49.69,2.00
2493.13,56.60,22.13,-49.69,2.00
2508.91,56.95,22.28,-52.50,2.00
2525.17,57.30,21.62,-52.50,2.00
2547.58,57.66,15.69,-49.69,2.00
2584.41,58.01,9.55,-52.50,2.00
3011.18,57.66,-0.82,-52.50,2.00
3108.07,57.30,-3.63,-49.69,2.00
3158.20,56.95,-7.01,-52.50,2.00
3227.29,56.60,-5.09,-52.50,2.00
3284.00,56.25,-6.20,-52.50,2.00
3327.37,55.90,-8.11,-49.69,2.00
3393.92,55.55,-5.28,-52.50,2.00
3445.05,55.20,-6.88,-52.50,2.00
3494.35,54.84,-7.13,-52.50,2.00
3552.37,54.49,-6.06,-52.50,2.00
3605.45,54.14,-6.62,-52.50,2.00
3750.13,53.79,-2.43,-52.50,2.00
3892.40,53.44,-2.47,-52.50,2.00
4029.32,53.09,-2.57,-55.31,2.00
4137.59,52.73,-3.25,-52.50,2.00
4339.76,52.38,-1.74,-52.50,2.00
4610.45,52.03,-1.30,-49.69,2.00
4902.02,51.68,-1.21,-52.50,2.00
4966.06,51.33,-5.49,-52.50,2.00
5072.50,50.98,-3.30,-52.50,2.00
5802.39,50.62,-0.48,-52.50,2.00
8568.13,50.27,-0.13,1235.63,2.00
8589.75,49.92,-16.26,1649.06,2.00
8606.00,49.57,-21.63,2059.69,2.00
8620.26,49.22,-24.66,2501.25,2.00
8631.55,48.87,-31.15,2956.87,2.00
8644.93,48.52,-26.27,3381.56,2.00
8654.49,48.16,-36.80,3828.75,2.00
8665.16,47.81,-32.94,4281.56,2.00
8673.51,47.46,-42.06,4281.56,2.00
8681.72,47.11,-42.85,4742.81,2.00
8689.78,46.76,-43.61,4742.81,2.00
8697.89,46.41,-43.36,5209.69,2.00
8705.36,46.05,-47.06,5209.69,2.00
