time,theta_b,dtheta_b,dtheta_w
1556.27,0.00,nan,-33464.93,0.00
1566.54,0.00,nan,-33698.14,0.00
1576.82,0.00,nan,-33950.74,0.00
1587.10,0.00,nan,-34194.97,0.00
1597.38,0.00,0.00,-34389.00,0.00
1607.65,0.00,0.00,-34614.79,0.00
1617.93,0.00,nan,-34851.38,0.00
1628.21,0.00,nan,-35030.98,0.00
1638.48,0.00,nan,-35218.80,0.00
1648.76,0.00,nan,-35394.33,0.00
1659.04,0.00,nan,-35579.10,0.00
1669.31,0.00,nan,-35715.05,0.00
1679.60,0.00,nan,-35860.75,0.00
1689.88,0.00,0.00,-35998.52,0.00
1700.16,0.00,nan,-36138.17,0.00
1710.43,0.00,nan,-36275.97,0.00
1720.71,0.00,nan,-36363.39,0.00
1730.98,0.00,nan,-36498.27,0.00
1741.26,0.00,0.00,-36602.01,0.00
1751.54,0.00,nan,-36705.67,0.00
1761.82,0.00,nan,-36782.95,0.00
1772.09,0.00,nan,-36875.49,0.00
1782.38,0.00,nan,-36972.49,0.00
1792.66,0.00,nan,-37063.07,0.00
1802.93,0.00,nan,-37108.54,0.00
1813.21,0.00,nan,-37200.52,0.00
1823.49,0.00,nan,-37247.21,0.00
1833.77,0.00,nan,-37328.88,0.00
1844.04,0.00,nan,-37386.28,0.00
1854.32,0.00,nan,-37435.47,0.00
1864.60,0.00,nan,-37496.29,0.00
1874.87,0.00,nan,-37518.96,0.00
1885.17,0.00,nan,-37571.13,0.00
1895.44,0.00,nan,-37609.42,0.00
1905.72,0.00,nan,-37667.71,0.00
1916.00,0.00,nan,-37707.41,0.00
1926.28,0.00,nan,-37753.72,0.00
1936.55,0.00,nan,-37798.23,0.00
1946.83,0.00,nan,-37850.36,0.00
1957.10,0.00,nan,-37847.79,0.00
1967.38,0.00,nan,-37891.41,0.00
1977.66,0.00,nan,-37936.46,0.00
1987.94,0.00,0.00,-37940.37,0.00
1998.21,0.00,nan,-37991.82,0.00
2008.49,0.00,nan,-37984.48,0.00
2018.77,0.00,nan,-38028.68,0.00
2029.05,0.00,nan,-38034.88,0.00
2039.32,0.00,nan,-38028.20,0.00
2049.60,0.00,nan,-38075.07,0.00
2059.88,0.00,nan,-38077.47,0.00
2070.15,0.00,nan,-38120.16,0.00
2080.43,0.00,nan,-38121.74,0.00
2090.71,0.00,nan,-38172.11,0.00
2100.99,0.00,nan,-38168.33,0.00
2111.27,0.00,nan,-38166.77,0.00
2121.54,0.00,nan,-38214.50,0.00
2131.82,0.00,nan,-38213.49,0.00
2142.10,0.00,nan,-38223.51,0.00
2152.37,0.00,nan,-38215.55,0.00
2162.65,0.00,0.00,-38216.00,0.00
2172.93,0.00,nan,-38219.32,0.00
2183.21,0.00,nan,-38256.16,0.00
2193.49,0.00,nan,-38261.88,0.00
2203.76,0.00,nan,-38261.47,0.00
2214.04,0.00,nan,-38309.19,0.00
2224.32,0.00,nan,-38309.10,0.00
2234.59,0.00,nan,-38294.22,0.00
2244.87,0.00,nan,-38307.62,0.00
2255.15,0.00,nan,-38256.80,0.00
2265.42,0.00,nan,-38261.92,0.00
2275.70,0.00,nan,-38262.32,0.00
2285.98,0.00,nan,-38262.39,0.00
2296.26,0.00,nan,-38259.46,0.00
2306.54,0.00,nan,-38237.07,0.00
2316.82,0.00,nan,-38219.71,0.00
2327.10,0.00,nan,-38216.00,0.00
2337.37,0.00,nan,-38174.00,0.00
2347.65,0.00,nan,-38167.49,0.00
